"",BBK01.OEAD24L,BBK01.OEAD24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:00,
2002-01,0.105,
2002-04,0.117,
2002-07,0.145,
2002-10,0.134,
2003-01,0.134,
2003-04,0.118,
2003-07,0.080,
2003-10,0.089,
2004-01,0.074,
2004-04,0.117,
2004-07,0.103,
2004-10,0.100,
2005-01,0.112,
2005-04,0.135,
2005-07,0.123,
2005-10,0.071,
2006-01,0.200,
2006-04,0.227,
2006-07,0.271,
2006-10,0.274,
2007-01,0.280,
2007-04,1.177,
2007-07,0.937,
2007-10,0.774,
2008-01,0.561,
2008-04,0.505,
2008-07,0.347,
2008-10,0.398,
2009-01,0.411,
2009-04,0.615,
2009-07,0.428,
2009-10,0.442,
2010-01,0.272,
2010-04,0.335,
2010-07,0.386,
2010-10,0.245,
2011-01,0.371,
2011-04,0.355,
2011-07,0.277,
2011-10,0.369,
2012-01,0.422,
2012-04,0.427,
2012-07,0.351,
2012-10,0.365,
2013-01,0.331,
2013-04,0.355,
2013-07,0.261,
2013-10,0.257,
2014-01,0.230,
2014-04,0.189,
2014-07,0.168,
