"",BBK01.OEYB12Q,BBK01.OEYB12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:09,
2002-01,8.467,
2002-04,8.656,
2002-07,8.696,
2002-10,9.179,
2003-01,9.285,
2003-04,9.976,
2003-07,10.095,
2003-10,10.570,
2004-01,10.900,
2004-04,7.371,
2004-07,7.186,
2004-10,8.150,
2005-01,8.059,
2005-04,7.985,
2005-07,7.966,
2005-10,8.256,
2006-01,9.255,
2006-04,9.683,
2006-07,9.893,
2006-10,10.919,
2007-01,12.887,
2007-04,12.957,
2007-07,13.161,
2007-10,12.799,
2008-01,9.069,
2008-04,8.403,
2008-07,8.594,
2008-10,8.609,
2009-01,8.421,
2009-04,7.807,
2009-07,9.168,
2009-10,12.617,
2010-01,12.988,
2010-04,13.147,
2010-07,10.244,
2010-10,10.021,
2011-01,10.006,
2011-04,9.490,
2011-07,5.910,
2011-10,5.906,
2012-01,5.748,
2012-04,6.257,
2012-07,6.220,
2012-10,9.739,
2013-01,9.364,
2013-04,8.211,
2013-07,7.779,
2013-10,12.090,
2014-01,11.491,
2014-04,11.215,
2014-07,11.221,
