"",BBK01.OEAA43I,BBK01.OEAA43I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:23,
2002-01,1.470,
2002-04,1.005,
2002-07,0.985,
2002-10,1.116,
2003-01,0.782,
2003-04,0.410,
2003-07,1.217,
2003-10,0.458,
2004-01,1.215,
2004-04,0.174,
2004-07,0.125,
2004-10,0.921,
2005-01,0.110,
2005-04,0.160,
2005-07,0.943,
2005-10,1.061,
2006-01,0.514,
2006-04,0.882,
2006-07,0.729,
2006-10,2.185,
2007-01,0.975,
2007-04,0.665,
2007-07,0.786,
2007-10,2.020,
2008-01,1.160,
2008-04,0.870,
2008-07,0.751,
2008-10,1.147,
2009-01,1.265,
2009-04,1.129,
2009-07,1.520,
2009-10,1.890,
2010-01,2.048,
2010-04,1.124,
2010-07,1.361,
2010-10,0.309,
2011-01,1.315,
2011-04,1.093,
2011-07,0.392,
2011-10,0.993,
2012-01,0.981,
2012-04,1.025,
2012-07,1.168,
2012-10,0.806,
2013-01,1.363,
2013-04,1.499,
2013-07,1.000,
2013-10,0.978,
2014-01,1.181,
2014-04,1.481,
2014-07,1.266,
