"",BBK01.OELK02G,BBK01.OELK02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:16,
2002-01,2.880,
2002-04,2.825,
2002-07,2.858,
2002-10,2.954,
2003-01,2.978,
2003-04,3.013,
2003-07,3.078,
2003-10,3.147,
2004-01,3.166,
2004-04,3.248,
2004-07,3.332,
2004-10,3.293,
2005-01,3.322,
2005-04,3.378,
2005-07,3.516,
2005-10,3.602,
2006-01,3.537,
2006-04,3.590,
2006-07,3.600,
2006-10,3.783,
2007-01,3.737,
2007-04,3.691,
2007-07,3.755,
2007-10,3.970,
2008-01,3.851,
2008-04,3.827,
2008-07,3.828,
2008-10,4.144,
2009-01,4.261,
2009-04,4.485,
2009-07,4.731,
2009-10,4.994,
2010-01,4.933,
2010-04,5.021,
2010-07,5.205,
2010-10,5.478,
2011-01,5.332,
2011-04,5.345,
2011-07,5.554,
2011-10,5.870,
2012-01,5.898,
2012-04,6.013,
2012-07,6.368,
2012-10,6.634,
2013-01,6.566,
2013-04,6.634,
2013-07,6.941,
2013-10,7.216,
2014-01,7.053,
2014-04,7.152,
2014-07,7.369,
