"",BBK01.TQ7015I,BBK01.TQ7015I_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Commonwealth of Independent States and Mongolia                                           FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:29,
2005-10,0.42,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.47,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,0.46,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,0.51,
2009-01,0.50,
2009-04,0.45,
2009-07,0.43,
2009-10,0.39,
2010-01,0.39,
2010-04,0.37,
2010-07,0.37,
2010-10,0.37,
2011-01,0.29,
2011-04,0.29,
2011-07,0.30,
2011-10,0.30,
2012-01,0.30,
2012-04,0.30,
2012-07,0.30,
2012-10,0.30,
2013-01,0.30,
2013-04,0.30,
2013-07,0.30,
2013-10,0.30,
2014-01,0.30,
2014-04,0.20,
2014-07,0.20,
