"",BBK01.OEAH38H,BBK01.OEAH38H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:57,
2002-01,2.816,
2002-04,2.788,
2002-07,2.769,
2002-10,2.690,
2003-01,2.710,
2003-04,2.654,
2003-07,2.602,
2003-10,2.505,
2004-01,2.387,
2004-04,2.354,
2004-07,2.308,
2004-10,2.322,
2005-01,2.261,
2005-04,2.174,
2005-07,2.122,
2005-10,2.019,
2006-01,1.989,
2006-04,1.982,
2006-07,1.930,
2006-10,1.871,
2007-01,1.820,
2007-04,1.749,
2007-07,1.713,
2007-10,1.611,
2008-01,1.518,
2008-04,1.478,
2008-07,1.461,
2008-10,1.461,
2009-01,1.444,
2009-04,1.399,
2009-07,1.421,
2009-10,1.420,
2010-01,1.395,
2010-04,1.350,
2010-07,1.378,
2010-10,1.354,
2011-01,1.423,
2011-04,1.483,
2011-07,1.556,
2011-10,1.511,
2012-01,1.472,
2012-04,1.392,
2012-07,1.309,
2012-10,1.251,
2013-01,1.228,
2013-04,1.178,
2013-07,1.225,
2013-10,1.175,
2014-01,1.121,
2014-04,1.110,
2014-07,1.046,
