"",BBK01.OEAC03U,BBK01.OEAC03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:47,
2002-01,0.357,
2002-04,0.344,
2002-07,0.324,
2002-10,0.331,
2003-01,0.246,
2003-04,0.242,
2003-07,0.192,
2003-10,0.214,
2004-01,0.214,
2004-04,0.200,
2004-07,0.197,
2004-10,0.190,
2005-01,0.210,
2005-04,0.196,
2005-07,0.168,
2005-10,0.172,
2006-01,0.180,
2006-04,0.216,
2006-07,0.217,
2006-10,0.249,
2007-01,0.256,
2007-04,0.253,
2007-07,0.258,
2007-10,0.315,
2008-01,0.346,
2008-04,0.364,
2008-07,0.363,
2008-10,0.478,
2009-01,0.495,
2009-04,0.525,
2009-07,0.531,
2009-10,0.528,
2010-01,0.638,
2010-04,0.673,
2010-07,0.720,
2010-10,0.774,
2011-01,0.794,
2011-04,0.818,
2011-07,0.869,
2011-10,0.910,
2012-01,0.985,
2012-04,1.014,
2012-07,0.991,
2012-10,1.035,
2013-01,1.073,
2013-04,1.098,
2013-07,1.122,
2013-10,1.206,
2014-01,1.242,
2014-04,1.418,
2014-07,1.378,
