"",BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:20,
1991-01,0.391,
1991-04,-16.080,
1991-07,16.952,
1991-10,-0.558,
1992-01,-1.097,
1992-04,0.219,
1992-07,21.407,
1992-10,18.366,
1993-01,44.347,
1993-04,-0.302,
1993-07,-1.436,
1993-10,-20.917,
1994-01,-2.471,
1994-04,5.360,
1994-07,-26.317,
1994-10,-19.396,
1995-01,-4.009,
1995-04,-2.872,
1995-07,-13.319,
1995-10,-10.520,
1996-01,-10.168,
1996-04,-2.492,
1996-07,-2.769,
1996-10,4.696,
1997-01,-0.085,
1997-04,-1.564,
1997-07,-0.944,
1997-10,-0.519,
1998-01,-1.466,
1998-04,-2.045,
1998-07,-0.209,
1998-10,-1.424,
1999-01,-0.838,
1999-04,-0.131,
1999-07,-8.403,
1999-10,-0.255,
2000-01,-3.860,
2000-04,-1.260,
2000-07,1.866,
2000-10,-27.050,
2001-01,-0.786,
2001-04,22.418,
2001-07,-1.658,
2001-10,-0.439,
2002-01,-1.119,
2002-04,-0.248,
2002-07,9.700,
2002-10,-13.716,
2003-01,-0.216,
2003-04,20.393,
2003-07,-0.985,
2003-10,-2.687,
2004-01,7.682,
2004-04,-90.168,
2004-07,-10.964,
2004-10,-14.555,
2005-01,9.322,
2005-04,-1.410,
2005-07,9.074,
2005-10,119.274,
2006-01,-4.818,
2006-04,57.017,
2006-07,21.885,
2006-10,3510.155,
2007-01,-7.234,
2007-04,24.525,
2007-07,14.635,
2007-10,-800.049,
2008-01,68.529,
2008-04,-36.132,
2008-07,-4.351,
2008-10,-197.849,
2009-01,-54.277,
2009-04,-108.662,
2009-07,62.558,
2009-10,238.566,
2010-01,205.607,
2010-04,-40.397,
2010-07,-218.803,
2010-10,-144.912,
2011-01,-16.726,
2011-04,333.830,
2011-07,-2380.604,
2011-10,-57.867,
2012-01,4.223,
2012-04,-25.284,
2012-07,-23.480,
2012-10,-208.177,
2013-01,53.848,
2013-04,-165.238,
2013-07,-10.157,
2013-10,-106.639,
2014-01,-14.367,Provisional value
2014-04,-79.698,Provisional value
2014-07,-88.593,Provisional value
2014-10,-94.821,Provisional value
