"",BBSF2.M.1.S.I1314.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1314.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Social security funds / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:57,
2009-09,35,
2009-10,81,
2009-11,0,
2009-12,318,
2010-01,50,
2010-02,100,
2010-03,90,
2010-04,2,
2010-05,4,
2010-06,98,
2010-07,1,
2010-08,135,
2010-09,481,
2010-10,64,
2010-11,2,
2010-12,100,
2011-01,5,
2011-02,3,
2011-03,4,
2011-04,9,
2011-05,3,
2011-06,105,
2011-07,362,
2011-08,158,
2011-09,0,
2011-10,120,
2011-11,51,
2011-12,135,
2012-01,2,
2012-02,271,
2012-03,5,
2012-04,203,
2012-05,0,
2012-06,198,
2012-07,145,
2012-08,25,
2012-09,110,
2012-10,173,
2012-11,316,
2012-12,202,
2013-01,267,
2013-02,35,
2013-03,0,
2013-04,35,
2013-05,234,
2013-06,186,
2013-07,19,
2013-08,596,
2013-09,0,
2013-10,2,
2013-11,0,
2013-12,225,
2014-01,2,
2014-02,61,
2014-03,0,
2014-04,100,
2014-05,113,
2014-06,264,
2014-07,132,
2014-08,278,
2014-09,718,
2014-10,254,
2014-11,53,
