"",BBK01.OEAD07U,BBK01.OEAD07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:31,
2002-01,0.251,
2002-04,0.269,
2002-07,0.289,
2002-10,0.265,
2003-01,0.259,
2003-04,0.266,
2003-07,0.258,
2003-10,0.239,
2004-01,0.233,
2004-04,0.211,
2004-07,0.212,
2004-10,0.199,
2005-01,0.202,
2005-04,0.198,
2005-07,0.166,
2005-10,0.161,
2006-01,0.169,
2006-04,0.167,
2006-07,0.179,
2006-10,0.191,
2007-01,0.214,
2007-04,0.205,
2007-07,0.213,
2007-10,0.217,
2008-01,0.238,
2008-04,0.246,
2008-07,0.232,
2008-10,0.234,
2009-01,0.229,
2009-04,0.245,
2009-07,0.239,
2009-10,0.258,
2010-01,0.249,
2010-04,0.256,
2010-07,0.256,
2010-10,0.247,
2011-01,0.261,
2011-04,0.263,
2011-07,0.253,
2011-10,0.237,
2012-01,0.243,
2012-04,0.241,
2012-07,0.240,
2012-10,0.240,
2013-01,0.232,
2013-04,0.233,
2013-07,0.233,
2013-10,0.217,
2014-01,0.214,
2014-04,0.223,
2014-07,0.204,
