"",BBK01.OEBB12L,BBK01.OEBB12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:19,
2002-01,8.640,
2002-04,8.911,
2002-07,9.390,
2002-10,9.856,
2003-01,9.416,
2003-04,9.459,
2003-07,9.479,
2003-10,8.924,
2004-01,9.574,
2004-04,9.338,
2004-07,11.491,
2004-10,11.464,
2005-01,12.085,
2005-04,12.274,
2005-07,12.579,
2005-10,16.819,
2006-01,18.118,
2006-04,18.168,
2006-07,18.067,
2006-10,15.487,
2007-01,16.616,
2007-04,16.156,
2007-07,18.570,
2007-10,20.439,
2008-01,20.717,
2008-04,18.058,
2008-07,18.258,
2008-10,18.307,
2009-01,17.423,
2009-04,17.710,
2009-07,17.615,
2009-10,17.289,
2010-01,17.851,
2010-04,17.370,
2010-07,19.009,
2010-10,18.853,
2011-01,18.706,
2011-04,18.416,
2011-07,17.857,
2011-10,17.009,
2012-01,17.020,
2012-04,16.677,
2012-07,15.974,
2012-10,11.556,
2013-01,11.643,
2013-04,11.906,
2013-07,11.489,
2013-10,11.698,
2014-01,11.449,
2014-04,11.348,
2014-07,12.261,
