"",BBK01.OEAA40Q,BBK01.OEAA40Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:25,
2002-01,0.360,
2002-04,0.356,
2002-07,0.348,
2002-10,0.343,
2003-01,0.334,
2003-04,0.318,
2003-07,0.310,
2003-10,0.303,
2004-01,0.301,
2004-04,0.252,
2004-07,0.240,
2004-10,0.236,
2005-01,0.250,
2005-04,0.244,
2005-07,0.236,
2005-10,0.227,
2006-01,0.217,
2006-04,0.205,
2006-07,0.194,
2006-10,0.188,
2007-01,0.208,
2007-04,0.188,
2007-07,0.148,
2007-10,0.137,
2008-01,0.129,
2008-04,0.121,
2008-07,0.115,
2008-10,0.110,
2009-01,0.105,
2009-04,0.102,
2009-07,0.100,
2009-10,0.096,
2010-01,0.091,
2010-04,0.091,
2010-07,0.090,
2010-10,0.090,
2011-01,0.087,
2011-04,0.083,
2011-07,0.095,
2011-10,0.078,
2012-01,0.083,
2012-04,0.079,
2012-07,0.079,
2012-10,0.077,
2013-01,0.070,
2013-04,0.077,
2013-07,0.078,
2013-10,0.075,
2014-01,0.073,
2014-04,0.069,
2014-07,0.068,
