"",BBK01.OUZ038,BBK01.OUZ038_FLAGS
"","Unsecuritised lending to non-banks(non-MFIs), total, Commercial banks",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:55:58,
1999-01,837.192,
1999-02,846.466,
1999-03,854.431,
1999-04,862.669,
1999-05,861.943,
1999-06,879.147,
1999-07,878.706,
1999-08,875.134,
1999-09,899.221,
1999-10,919.877,
1999-11,938.703,
1999-12,920.359,
2000-01,951.140,
2000-02,970.511,
2000-03,989.433,
2000-04,1006.215,
2000-05,1047.088,
2000-06,1014.044,
2000-07,1038.754,
2000-08,1056.779,
2000-09,1079.876,
2000-10,1122.916,
2000-11,1121.490,
2000-12,1101.963,
2001-01,1127.561,
2001-02,1141.347,
2001-03,1172.388,
2001-04,1183.835,
2001-05,1215.190,
2001-06,1188.545,
2001-07,1151.498,
2001-08,1130.662,
2001-09,1158.499,
2001-10,1143.080,
2001-11,1165.558,
2001-12,1170.695,
2002-01,1154.032,
2002-02,1147.062,
2002-03,1157.848,
2002-04,1190.575,
2002-05,1201.611,
2002-06,1140.577,
2002-07,1156.822,
2002-08,1171.978,
2002-09,1183.034,
2002-10,1173.415,
2002-11,1176.547,
2002-12,1100.866,
2003-01,1111.614,
2003-02,1140.994,
2003-03,1137.395,
2003-04,1185.787,
2003-05,1179.195,
2003-06,1158.456,
2003-07,1109.737,
2003-08,1113.638,
2003-09,1115.731,
2003-10,1102.411,
2003-11,1117.287,
2003-12,1085.069,
2004-01,1120.212,
2004-02,1138.364,
2004-03,1171.210,
2004-04,1180.301,
2004-05,1158.650,
2004-06,1138.160,
2004-07,1154.757,
2004-08,1150.999,
2004-09,1161.974,
2004-10,1162.439,
2004-11,1185.486,
2004-12,1156.769,
2005-01,1192.085,
2005-02,1201.094,
2005-03,1182.421,
2005-04,1235.720,
2005-05,1244.827,
2005-06,1228.025,
2005-07,1240.817,
2005-08,1243.694,
2005-09,1250.157,
2005-10,1277.777,
2005-11,1275.504,
2005-12,1235.057,
2006-01,1278.392,
2006-02,1288.568,
2006-03,1314.495,
2006-04,1368.289,
2006-05,1345.297,
2006-06,1332.869,
2006-07,1325.647,
2006-08,1331.003,
2006-09,1361.122,
2006-10,1360.177,
2006-11,1358.164,
2006-12,1302.159,
2007-01,1400.250,
2007-02,1451.028,
2007-03,1483.652,
2007-04,1478.193,
2007-05,1507.498,
2007-06,1521.533,
2007-07,1555.815,
2007-08,1505.086,
2007-09,1502.385,
2007-10,1481.882,
2007-11,1516.667,
2007-12,1473.189,
2008-01,1533.422,
2008-02,1500.313,
2008-03,1507.592,
2008-04,1502.577,
2008-05,1512.809,
2008-06,1440.356,
2008-07,1443.250,
2008-08,1469.143,
2008-09,1518.047,
2008-10,1514.467,
2008-11,1469.879,
2008-12,1322.764,
2009-01,1386.789,
2009-02,1345.007,
2009-03,1309.218,
2009-04,1344.144,
2009-05,1304.293,
2009-06,1293.622,
2009-07,1283.312,
2009-08,1242.830,
2009-09,1257.271,
2009-10,1252.894,
2009-11,1244.855,
2009-12,1204.694,
2010-01,1228.820,
2010-02,1219.993,
2010-03,1224.171,
2010-04,1314.894,
2010-05,1320.752,
2010-06,1290.843,
2010-07,1260.479,
2010-08,1280.168,
2010-09,1239.809,
2010-10,1250.217,
2010-11,1292.697,
2010-12,1229.702,
2011-01,1270.116,
2011-02,1282.446,
2011-03,1238.555,
2011-04,1260.868,
2011-05,1275.137,
2011-06,1245.199,
2011-07,1265.552,
2011-08,1290.263,
2011-09,1303.803,
2011-10,1316.848,
2011-11,1311.938,
2011-12,1247.906,
2012-01,1289.044,
2012-02,1274.712,
2012-03,1258.582,
2012-04,1268.614,
2012-05,1299.171,
2012-06,1260.971,
2012-07,1301.858,
2012-08,1278.045,
2012-09,1282.231,
2012-10,1268.594,
2012-11,1277.451,
2012-12,1219.890,
2013-01,1260.384,
2013-02,1280.967,
2013-03,1273.165,
2013-04,1293.651,
2013-05,1301.969,
2013-06,1279.032,
2013-07,1260.602,
2013-08,1197.971,
2013-09,1217.877,
2013-10,1208.031,
2013-11,1204.441,
2013-12,1182.916,
2014-01,1216.236,
2014-02,1222.234,
2014-03,1233.463,
2014-04,1252.084,
2014-05,1247.182,
2014-06,1268.219,
2014-07,1292.127,
2014-08,1257.597,
2014-09,1306.270,
2014-10,1298.225,
2014-11,1315.530,
