"",BBK01.OEBI08L,BBK01.OEBI08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:01,
2002-01,3.528,
2002-04,3.054,
2002-07,3.962,
2002-10,4.926,
2003-01,5.498,
2003-04,5.574,
2003-07,5.783,
2003-10,5.781,
2004-01,5.751,
2004-04,5.726,
2004-07,6.043,
2004-10,6.118,
2005-01,9.102,
2005-04,9.129,
2005-07,9.027,
2005-10,9.046,
2006-01,9.037,
2006-04,8.950,
2006-07,8.977,
2006-10,8.969,
2007-01,9.051,
2007-04,8.718,
2007-07,7.860,
2007-10,7.249,
2008-01,6.805,
2008-04,6.813,
2008-07,6.630,
2008-10,6.532,
2009-01,7.123,
2009-04,7.888,
2009-07,9.512,
2009-10,10.858,
2010-01,12.022,
2010-04,9.374,
2010-07,9.504,
2010-10,9.765,
2011-01,9.932,
2011-04,7.846,
2011-07,7.727,
2011-10,7.615,
2012-01,8.209,
2012-04,8.150,
2012-07,8.097,
2012-10,8.182,
2013-01,8.101,
2013-04,8.133,
2013-07,8.160,
2013-10,8.291,
2014-01,8.290,
2014-04,8.265,
2014-07,8.399,
