"",BBFB1.M.N.DE.W1.S1.S1.T.C.SC._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SC._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:06,
1991-01,805.630,
1991-02,930.582,
1991-03,929.138,
1991-04,1120.801,
1991-05,1061.536,
1991-06,1126.865,
1991-07,1131.411,
1991-08,1218.552,
1991-09,1225.713,
1991-10,1191.372,
1991-11,1116.930,
1991-12,1296.329,
1992-01,825.130,
1992-02,1021.725,
1992-03,1064.853,
1992-04,1183.211,
1992-05,1146.966,
1992-06,1127.475,
1992-07,1242.689,
1992-08,1095.468,
1992-09,1096.767,
1992-10,1244.241,
1992-11,1162.778,
1992-12,1218.015,
1993-01,859.137,
1993-02,1009.628,
1993-03,1135.830,
1993-04,1100.216,
1993-05,1071.852,
1993-06,1202.978,
1993-07,1137.490,
1993-08,1084.129,
1993-09,1194.041,
1993-10,1166.640,
1993-11,1140.588,
1993-12,1405.826,
1994-01,937.667,
1994-02,1073.283,
1994-03,1154.835,
1994-04,1204.958,
1994-05,1166.181,
1994-06,1243.257,
1994-07,1150.406,
1994-08,1149.792,
1994-09,1195.456,
1994-10,1209.469,
1994-11,1220.337,
1994-12,1322.931,
1995-01,944.700,
1995-02,1116.893,
1995-03,1214.304,
1995-04,1036.678,
1995-05,1204.463,
1995-06,1221.442,
1995-07,1237.000,
1995-08,1217.896,
1995-09,1168.554,
1995-10,1260.236,
1995-11,1213.124,
1995-12,1435.440,
1996-01,851.081,
1996-02,1034.375,
1996-03,1040.808,
1996-04,1167.441,
1996-05,1166.593,
1996-06,1169.491,
1996-07,1100.228,
1996-08,1329.073,
1996-09,1139.759,
1996-10,1243.224,
1996-11,1138.618,
1996-12,1277.265,
1997-01,991.179,
1997-02,1039.342,
1997-03,1150.433,
1997-04,1250.823,
1997-05,1383.063,
1997-06,1286.815,
1997-07,1479.923,
1997-08,1358.136,
1997-09,1320.095,
1997-10,1494.573,
1997-11,1106.408,
1997-12,1681.308,
1998-01,1057.341,
1998-02,1138.769,
1998-03,1300.420,
1998-04,1306.051,
1998-05,1359.305,
1998-06,1357.220,
1998-07,1582.455,
1998-08,1371.285,
1998-09,1445.503,
1998-10,1405.170,
1998-11,1310.479,
1998-12,1692.169,
1999-01,923.659,
1999-02,1203.764,
1999-03,1262.914,
1999-04,1414.404,
1999-05,1440.207,
1999-06,1368.107,
1999-07,1590.791,
1999-08,1480.935,
1999-09,1444.632,
1999-10,1483.674,
1999-11,1478.251,
1999-12,1891.388,
2000-01,1125.331,
2000-02,1306.058,
2000-03,1551.260,
2000-04,1460.692,
2000-05,1714.024,
2000-06,1688.021,
2000-07,1783.566,
2000-08,1759.987,
2000-09,1714.854,
2000-10,1735.698,
2000-11,1792.665,
2000-12,2006.747,
2001-01,1331.248,
2001-02,1575.197,
2001-03,1698.144,
2001-04,1680.756,
2001-05,1979.967,
2001-06,1838.405,
2001-07,2026.934,
2001-08,1892.712,
2001-09,1665.929,
2001-10,1828.264,
2001-11,1760.627,
2001-12,2075.818,
2002-01,1429.412,
2002-02,1661.223,
2002-03,1649.563,
2002-04,1962.529,
2002-05,1767.662,
2002-06,2054.060,
2002-07,1951.706,
2002-08,1944.938,
2002-09,1950.540,
2002-10,2090.916,
2002-11,1949.561,
2002-12,2231.501,
2003-01,1623.656,
2003-02,1456.799,
2003-03,1818.548,
2003-04,1903.635,
2003-05,1663.369,
2003-06,1898.626,
2003-07,1938.737,
2003-08,1735.584,
2003-09,1985.189,
2003-10,1798.214,
2003-11,1879.611,
2003-12,2003.097,
2004-01,1744.569,
2004-02,1747.928,
2004-03,2261.912,
2004-04,2164.201,
2004-05,1919.321,
2004-06,2397.481,
2004-07,2149.886,
2004-08,2098.837,
2004-09,2109.817,
2004-10,2247.878,
2004-11,2291.323,
2004-12,2292.947,
2005-01,1876.045,
2005-02,2062.658,
2005-03,2321.226,
2005-04,2234.940,
2005-05,2438.905,
2005-06,2739.516,
2005-07,2702.585,
2005-08,2747.233,
2005-09,2699.758,
2005-10,2636.076,
2005-11,2788.521,
2005-12,2862.863,
2006-01,2226.725,
2006-02,2359.821,
2006-03,2706.977,
2006-04,2667.832,
2006-05,2852.899,
2006-06,2815.979,
2006-07,2962.375,
2006-08,3029.176,
2006-09,2750.889,
2006-10,3080.802,
2006-11,3033.869,
2006-12,2863.429,
2007-01,2612.787,
2007-02,2604.592,
2007-03,3028.179,
2007-04,3089.871,
2007-05,3053.172,
2007-06,3125.509,
2007-07,3260.000,
2007-08,3391.689,
2007-09,3059.506,
2007-10,3479.606,
2007-11,3252.599,
2007-12,3006.052,
2008-01,3192.789,
2008-02,3620.613,
2008-03,3290.983,
2008-04,3607.914,
2008-05,3538.821,
2008-06,3624.087,
2008-07,3649.024,
2008-08,3394.319,
2008-09,3607.745,
2008-10,3552.387,
2008-11,3295.105,
2008-12,3079.138,
2009-01,2735.405,
2009-02,3212.982,
2009-03,3317.793,
2009-04,3059.073,
2009-05,3003.950,
2009-06,3066.050,
2009-07,3096.372,
2009-08,2803.999,
2009-09,2983.375,
2009-10,3013.550,
2009-11,3001.510,
2009-12,2919.347,
2010-01,2725.815,
2010-02,2974.497,
2010-03,3510.181,
2010-04,3479.592,
2010-05,3604.702,
2010-06,3810.869,
2010-07,3727.136,
2010-08,3729.800,
2010-09,3717.093,
2010-10,3540.599,
2010-11,3669.690,
2010-12,3578.877,
2011-01,3201.740,
2011-02,3310.303,
2011-03,3796.226,
2011-04,3364.276,
2011-05,3732.840,
2011-06,3681.115,
2011-07,3577.629,
2011-08,3612.361,
2011-09,3714.551,
2011-10,3661.187,
2011-11,3642.878,
2011-12,3521.200,
2012-01,3413.214,
2012-02,3469.762,
2012-03,3779.761,
2012-04,3568.892,
2012-05,3980.915,
2012-06,3815.635,
2012-07,3922.634,
2012-08,3750.509,
2012-09,3577.028,
2012-10,3814.299,
2012-11,3656.175,
2012-12,3301.392,
2013-01,3593.708,
2013-02,3432.523,
2013-03,3647.321,
2013-04,3979.181,
2013-05,3990.080,
2013-06,3840.621,
2013-07,4168.975,
2013-08,4132.360,
2013-09,3758.683,
2013-10,3848.031,
2013-11,3585.377,
2013-12,3603.155,
2014-01,3592.664,
2014-02,3476.957,Provisional value
2014-03,3485.828,Provisional value
2014-04,3638.275,Provisional value
2014-05,3753.673,Provisional value
2014-06,3721.381,Provisional value
2014-07,3906.215,Provisional value
2014-08,3604.773,Provisional value
2014-09,3874.527,
2014-10,3906.533,
2014-11,3525.920,
2014-12,3566.812,Provisional value
