"",BBK01.OEXI05Q,BBK01.OEXI05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:57,
2002-01,0.223,
2002-04,0.216,
2002-07,0.212,
2002-10,0.197,
2003-01,0.204,
2003-04,0.207,
2003-07,0.204,
2003-10,0.196,
2004-01,0.196,
2004-04,0.219,
2004-07,0.253,
2004-10,0.181,
2005-01,0.188,
2005-04,0.193,
2005-07,0.191,
2005-10,0.192,
2006-01,0.189,
2006-04,0.189,
2006-07,0.194,
2006-10,0.199,
2007-01,0.191,
2007-04,0.204,
2007-07,0.208,
2007-10,0.210,
2008-01,0.207,
2008-04,0.209,
2008-07,0.185,
2008-10,0.290,
2009-01,0.353,
2009-04,0.380,
2009-07,0.437,
2009-10,0.485,
2010-01,0.540,
2010-04,0.559,
2010-07,0.574,
2010-10,0.584,
2011-01,0.637,
2011-04,0.668,
2011-07,0.692,
2011-10,0.722,
2012-01,0.754,
2012-04,0.768,
2012-07,0.773,
2012-10,0.757,
2013-01,0.765,
2013-04,0.763,
2013-07,0.760,
2013-10,0.642,
2014-01,0.555,
2014-04,0.576,
2014-07,0.504,
