"",BBK01.OEAH96M,BBK01.OEAH96M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:11,
2002-01,0.622,
2002-04,0.600,
2002-07,0.581,
2002-10,0.590,
2003-01,0.584,
2003-04,0.561,
2003-07,0.531,
2003-10,0.499,
2004-01,0.495,
2004-04,0.490,
2004-07,0.481,
2004-10,0.454,
2005-01,0.442,
2005-04,0.395,
2005-07,0.377,
2005-10,0.374,
2006-01,0.367,
2006-04,0.365,
2006-07,0.352,
2006-10,0.353,
2007-01,0.352,
2007-04,0.344,
2007-07,0.316,
2007-10,0.319,
2008-01,0.330,
2008-04,0.325,
2008-07,0.309,
2008-10,0.328,
2009-01,0.336,
2009-04,0.338,
2009-07,0.342,
2009-10,0.337,
2010-01,0.330,
2010-04,0.328,
2010-07,0.333,
2010-10,0.340,
2011-01,0.335,
2011-04,0.326,
2011-07,0.327,
2011-10,0.333,
2012-01,0.340,
2012-04,0.336,
2012-07,0.327,
2012-10,0.330,
2013-01,0.326,
2013-04,0.322,
2013-07,0.320,
2013-10,0.323,
2014-01,0.322,
2014-04,0.319,
2014-07,0.316,
