"",BBK01.PQL352,BBK01.PQL352_FLAGS
"",Lending to domestic enterprises and resident individuals / Medium-term / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:02,
1958-10,0.288,
1959-01,-,Nothing exists
1959-04,0.312,
1959-07,-,Nothing exists
1959-10,0.405,
1960-01,-,Nothing exists
1960-04,0.441,
1960-07,-,Nothing exists
1960-10,0.466,
1961-01,-,Nothing exists
1961-04,0.510,
1961-07,-,Nothing exists
1961-10,0.550,
1962-01,-,Nothing exists
1962-04,0.604,
1962-07,-,Nothing exists
1962-10,0.704,
1963-01,-,Nothing exists
1963-04,0.766,
1963-07,-,Nothing exists
1963-10,0.817,
1964-01,-,Nothing exists
1964-04,0.881,
1964-07,-,Nothing exists
1964-10,0.939,
1965-01,0.959,
1965-04,1.019,
1965-07,1.056,
1965-10,1.134,
1966-01,1.157,
1966-04,1.215,
1966-07,1.240,
1966-10,1.253,
1967-01,1.263,
1967-04,1.323,
1967-07,1.371,
1967-10,1.425,
1968-01,1.452,
1968-04,1.524,
1968-07,1.568,
1968-10,1.718,
1969-01,1.755,
1969-04,1.853,
1969-07,1.925,
1969-10,1.991,
1970-01,2.038,
1970-04,2.150,
1970-07,2.274,
1970-10,2.411,
1971-01,2.518,
1971-04,2.746,
1971-07,2.944,
1971-10,3.117,
1972-01,3.159,
1972-04,3.366,
1972-07,3.533,
1972-10,3.757,
1973-01,3.876,
1973-04,4.048,
1973-07,4.095,
1973-10,4.387,
1974-01,4.348,
1974-04,4.465,
1974-07,4.585,
1974-10,4.773,
1975-01,4.854,
1975-04,5.080,
1975-07,5.314,
1975-10,5.545,
1976-01,5.825,
1976-04,6.316,
1976-07,6.695,
1976-10,7.169,
1977-01,7.383,
1977-04,7.838,
1977-07,8.156,
1977-10,8.527,
1978-01,8.773,
1978-04,9.323,
1978-07,9.724,
1978-10,10.314,
1979-01,10.403,
1979-04,10.774,
1979-07,11.134,
1979-10,11.620,
1980-01,11.723,
1980-04,12.131,
1980-07,12.524,
1980-10,12.838,
1981-01,13.038,
1981-04,13.476,
1981-07,13.871,
1981-10,14.257,
1982-01,14.259,
1982-04,14.618,
1982-07,14.936,
1982-10,15.388,
1983-01,15.227,
1983-04,15.468,
1983-07,15.873,
1983-10,16.272,
1984-01,16.035,
1984-04,16.255,
1984-07,16.408,
1984-10,16.442,
1985-01,16.110,
1985-04,15.987,
1985-07,15.949,
1985-10,17.758,
1986-01,17.318,
1986-04,17.240,
1986-07,17.054,
1986-10,16.754,
1987-01,16.236,
1987-04,16.145,
1987-07,16.002,
1987-10,15.866,
1988-01,15.499,
1988-04,15.500,
1988-07,15.468,
1988-10,15.340,
1989-01,15.181,
1989-04,15.552,
1989-07,15.908,
1989-10,16.456,
1990-01,16.728,
1990-04,17.345,
1990-07,18.169,
1990-10,19.328,
1991-01,19.676,
1991-04,20.687,
1991-07,21.887,
1991-10,23.175,
1992-01,23.931,
1992-04,24.992,
1992-07,26.116,
1992-10,27.241,
1993-01,27.454,
1993-04,27.662,
1993-07,28.002,
1993-10,27.764,
1994-01,27.007,
1994-04,26.804,
1994-07,27.360,
1994-10,28.152,
1995-01,28.547,
1995-04,28.831,
1995-07,29.156,
1995-10,29.237,
1996-01,28.786,
1996-04,28.687,
1996-07,28.837,
1996-10,29.148,
1997-01,28.629,
1997-04,28.478,
1997-07,28.622,
1997-10,28.432,
1998-01,28.043,
1998-04,27.853,
1998-07,27.570,
1998-10,25.451,
1999-01,48.848,
1999-04,46.018,
1999-07,46.030,
1999-10,41.541,
2000-01,40.446,
2000-04,39.770,
2000-07,39.432,
2000-10,37.845,
2001-01,36.934,
2001-04,36.357,
2001-07,35.760,
2001-10,35.075,
2002-01,34.282,
2002-04,33.609,
2002-07,33.186,
2002-10,32.174,
2003-01,31.026,
2003-04,30.203,
2003-07,29.574,
2003-10,28.779,
2004-01,28.025,
2004-04,27.634,
2004-07,27.267,
2004-10,26.980,
2005-01,26.186,
2005-04,25.900,
2005-07,25.659,
2005-10,25.202,
2006-01,24.589,
2006-04,24.407,
2006-07,24.198,
2006-10,23.547,
2007-01,23.181,
2007-04,22.958,
2007-07,22.970,
2007-10,22.545,
2008-01,22.293,
2008-04,22.267,
2008-07,22.444,
2008-10,22.988,
2009-01,23.119,
2009-04,23.326,
2009-07,23.899,
2009-10,24.090,
2010-01,23.954,
2010-04,23.988,
2010-07,24.269,
2010-10,24.270,
2011-01,24.463,
2011-04,24.873,
2011-07,25.226,
2011-10,25.304,
2012-01,25.694,
2012-04,25.830,
2012-07,26.287,
2012-10,26.195,
2013-01,26.398,
2013-04,26.855,
2013-07,27.463,
2013-10,27.462,
2014-01,27.504,
2014-04,27.673,
2014-07,28.187,
2014-10,28.262,
