"",BBK01.OEAF40K,BBK01.OEAF40K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:11,
2002-01,0.333,
2002-04,0.329,
2002-07,0.332,
2002-10,0.334,
2003-01,0.335,
2003-04,0.323,
2003-07,0.317,
2003-10,0.312,
2004-01,0.276,
2004-04,0.302,
2004-07,0.307,
2004-10,0.303,
2005-01,0.301,
2005-04,0.300,
2005-07,0.298,
2005-10,0.261,
2006-01,0.258,
2006-04,0.262,
2006-07,0.260,
2006-10,0.267,
2007-01,0.257,
2007-04,0.260,
2007-07,0.251,
2007-10,0.251,
2008-01,0.253,
2008-04,0.257,
2008-07,0.258,
2008-10,0.259,
2009-01,0.261,
2009-04,0.263,
2009-07,0.263,
2009-10,0.259,
2010-01,0.254,
2010-04,0.256,
2010-07,0.264,
2010-10,0.263,
2011-01,0.265,
2011-04,0.266,
2011-07,0.264,
2011-10,0.263,
2012-01,0.262,
2012-04,0.260,
2012-07,0.257,
2012-10,0.260,
2013-01,0.259,
2013-04,0.256,
2013-07,0.249,
2013-10,0.249,
2014-01,0.250,
2014-04,0.252,
2014-07,0.251,
