"",BBFN1.M.DE.N.1.A.US.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.US.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / United States,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:45,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,7.200,
1995-01,7.066,
1995-02,6.880,
1995-03,7.197,
1995-04,7.206,
1995-05,7.337,
1995-06,7.585,
1995-07,7.405,
1995-08,7.111,
1995-09,6.787,
1995-10,6.559,
1995-11,6.452,
1995-12,6.653,
1996-01,6.382,
1996-02,6.275,
1996-03,6.469,
1996-04,6.388,
1996-05,6.434,
1996-06,6.640,
1996-07,6.708,
1996-08,6.590,
1996-09,6.761,
1996-10,6.944,
1996-11,7.022,
1996-12,7.538,
1997-01,7.390,
1997-02,7.545,
1997-03,8.025,
1997-04,8.339,
1997-05,7.596,
1997-06,7.937,
1997-07,8.109,
1997-08,7.976,
1997-09,8.410,
1997-10,8.513,
1997-11,8.344,
1997-12,8.754,
1998-01,8.670,
1998-02,8.760,
1998-03,9.297,
1998-04,9.449,
1998-05,9.235,
1998-06,9.043,
1998-07,9.098,
1998-08,9.070,
1998-09,9.317,
1998-10,9.406,
1998-11,9.536,
1998-12,9.539,
1999-01,9.146,
1999-02,9.209,
1999-03,9.496,
1999-04,9.895,
1999-05,9.837,
1999-06,10.315,
1999-07,10.477,
1999-08,10.415,
1999-09,10.470,
1999-10,10.678,
1999-11,11.181,
1999-12,11.300,
2000-01,11.471,
2000-02,11.256,
2000-03,12.186,
2000-04,11.913,
2000-05,12.280,
2000-06,12.168,
2000-07,12.390,
2000-08,11.996,
2000-09,12.551,
2000-10,12.673,
2000-11,12.909,
2000-12,13.599,
2001-01,12.740,
2001-02,12.039,
2001-03,12.877,
2001-04,12.577,
2001-05,12.278,
2001-06,12.963,
2001-07,13.012,
2001-08,12.089,
2001-09,12.512,
2001-10,13.200,
2001-11,12.601,
2001-12,12.576,
2002-01,12.770,
2002-02,12.188,
2002-03,11.741,
2002-04,11.950,
2002-05,11.937,
2002-06,12.216,
2002-07,12.520,
2002-08,11.679,
2002-09,12.397,
2002-10,13.368,
2002-11,12.558,
2002-12,12.296,
2003-01,12.174,
2003-02,11.890,
2003-03,12.193,
2003-04,11.819,
2003-05,11.194,
2003-06,11.417,
2003-07,11.501,
2003-08,10.704,
2003-09,11.432,
2003-10,11.498,
2003-11,11.239,
2003-12,11.314,
2004-01,10.796,
2004-02,10.676,
2004-03,11.544,
2004-04,11.510,
2004-05,11.107,
2004-06,12.136,
2004-07,11.790,
2004-08,11.425,
2004-09,12.401,
2004-10,11.870,
2004-11,12.086,
2004-12,11.368,
2005-01,10.986,
2005-02,11.118,
2005-03,11.865,
2005-04,11.241,
2005-05,11.666,
2005-06,12.680,
2005-07,11.892,
2005-08,12.225,
2005-09,13.370,
2005-10,12.873,
2005-11,13.157,
2005-12,13.964,
2006-01,13.469,
2006-02,13.304,
2006-03,14.125,
2006-04,13.332,
2006-05,13.780,
2006-06,14.079,
2006-07,13.435,
2006-08,13.022,
2006-09,13.589,
2006-10,13.002,
2006-11,13.301,
2006-12,13.719,
2007-01,13.003,
2007-02,12.660,
2007-03,13.432,
2007-04,12.327,
2007-05,12.553,
2007-06,13.119,
2007-07,12.815,
2007-08,12.763,
2007-09,13.192,
2007-10,12.910,
2007-11,13.447,
2007-12,12.775,
2008-01,11.849,
2008-02,12.141,
2008-03,12.116,
2008-04,12.003,
2008-05,12.317,
2008-06,12.719,
2008-07,12.376,
2008-08,12.291,
2008-09,12.449,
2008-10,12.198,
2008-11,12.333,
2008-12,12.203,
2009-01,11.466,
2009-02,11.232,
2009-03,11.463,
2009-04,10.518,
2009-05,10.153,
2009-06,10.659,
2009-07,10.419,
2009-08,10.077,
2009-09,10.542,
2009-10,10.363,
2009-11,10.950,
2009-12,10.490,
2010-01,9.824,
2010-02,10.589,
2010-03,11.631,
2010-04,11.288,
2010-05,11.476,
2010-06,12.027,
2010-07,11.449,
2010-08,11.505,
2010-09,12.316,
2010-10,11.752,
2010-11,12.569,
2010-12,12.459,
2011-01,12.046,
2011-02,12.323,
2011-03,12.463,
2011-04,12.401,
2011-05,12.473,
2011-06,12.466,
2011-07,12.323,
2011-08,12.425,
2011-09,12.852,
2011-10,12.952,
2011-11,13.075,
2011-12,12.855,
2012-01,12.702,
2012-02,12.918,
2012-03,13.619,
2012-04,13.167,
2012-05,13.396,
2012-06,14.664,
2012-07,14.186,
2012-08,13.921,
2012-09,14.209,
2012-10,14.174,
2012-11,14.886,
2012-12,14.691,
2013-01,13.339,
2013-02,13.771,
2013-03,13.936,
2013-04,13.895,
2013-05,12.945,
2013-06,13.422,
2013-07,12.801,
2013-08,12.814,
2013-09,14.300,
2013-10,14.061,
2013-11,13.853,
2013-12,14.809,
2014-01,13.340,
2014-02,13.594,
2014-03,14.761,
2014-04,13.753,
2014-05,13.569,
2014-06,14.497,
2014-07,14.188,
2014-08,13.870,
2014-09,15.169,
2014-10,15.082,
2014-11,15.035,
2014-12,16.297,
