"",BBK01.OEXB11H,BBK01.OEXB11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:04,
2002-01,2.090,
2002-04,1.981,
2002-07,2.078,
2002-10,2.055,
2003-01,2.011,
2003-04,2.107,
2003-07,1.940,
2003-10,2.014,
2004-01,1.888,
2004-04,1.948,
2004-07,1.408,
2004-10,1.476,
2005-01,1.429,
2005-04,1.475,
2005-07,1.452,
2005-10,1.406,
2006-01,1.438,
2006-04,1.447,
2006-07,1.438,
2006-10,1.435,
2007-01,1.432,
2007-04,1.580,
2007-07,1.822,
2007-10,1.831,
2008-01,1.859,
2008-04,1.939,
2008-07,1.968,
2008-10,1.807,
2009-01,1.877,
2009-04,1.921,
2009-07,1.931,
2009-10,1.892,
2010-01,1.878,
2010-04,1.893,
2010-07,2.046,
2010-10,1.997,
2011-01,1.966,
2011-04,1.921,
2011-07,5.085,
2011-10,5.272,
2012-01,5.238,
2012-04,5.346,
2012-07,5.462,
2012-10,5.721,
2013-01,5.719,
2013-04,5.765,
2013-07,5.775,
2013-10,5.696,
2014-01,5.751,
2014-04,5.992,
2014-07,5.990,
