"",BBK01.OEBB01G,BBK01.OEBB01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:32,
2002-01,92.992,
2002-04,98.304,
2002-07,98.739,
2002-10,98.141,
2003-01,95.341,
2003-04,97.351,
2003-07,97.189,
2003-10,97.781,
2004-01,97.083,
2004-04,98.708,
2004-07,98.709,
2004-10,101.838,
2005-01,59.210,
2005-04,60.103,
2005-07,42.024,
2005-10,41.912,
2006-01,42.996,
2006-04,43.647,
2006-07,43.551,
2006-10,41.740,
2007-01,42.496,
2007-04,43.698,
2007-07,44.437,
2007-10,44.354,
2008-01,45.892,
2008-04,47.031,
2008-07,47.755,
2008-10,48.181,
2009-01,50.431,
2009-04,58.044,
2009-07,56.912,
2009-10,55.625,
2010-01,55.668,
2010-04,55.735,
2010-07,55.220,
2010-10,54.930,
2011-01,54.464,
2011-04,54.876,
2011-07,55.197,
2011-10,55.704,
2012-01,55.523,
2012-04,56.176,
2012-07,55.753,
2012-10,55.430,
2013-01,55.504,
2013-04,56.177,
2013-07,56.085,
2013-10,56.858,
2014-01,57.763,
2014-04,58.239,
2014-07,58.392,
