"",BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:32,
1991-01,4.798,
1991-04,-0.100,
1991-07,-0.076,
1991-10,-0.007,
1992-01,-0.487,
1992-04,0.124,
1992-07,-6.687,
1992-10,0.186,
1993-01,-1.137,
1993-04,0.838,
1993-07,-11.043,
1993-10,-0.876,
1994-01,2.215,
1994-04,0.431,
1994-07,-0.584,
1994-10,-0.536,
1995-01,-1.409,
1995-04,-0.115,
1995-07,-0.489,
1995-10,0.034,
1996-01,2.775,
1996-04,1.525,
1996-07,51.492,
1996-10,1.835,
1997-01,-6.329,
1997-04,10.174,
1997-07,-5.346,
1997-10,7.298,
1998-01,31.622,
1998-04,-52.779,
1998-07,-16.985,
1998-10,-4.705,
1999-01,7.217,
1999-04,16.426,
1999-07,6.446,
1999-10,29.161,
2000-01,26.028,
2000-04,-11.782,
2000-07,23.511,
2000-10,-7.146,
2001-01,5.356,
2001-04,20.740,
2001-07,14.757,
2001-10,-43.151,
2002-01,26.628,
2002-04,206.515,
2002-07,22.892,
2002-10,-34.551,
2003-01,-42.833,
2003-04,-9.108,
2003-07,297.882,
2003-10,-220.316,
2004-01,18.445,
2004-04,-19.016,
2004-07,-17.517,
2004-10,37.829,
2005-01,-26.722,
2005-04,34.824,
2005-07,-21.755,
2005-10,23.989,
2006-01,-14.966,
2006-04,-33.355,
2006-07,25.493,
2006-10,24.392,
2007-01,-23.840,
2007-04,-36.901,
2007-07,8.417,
2007-10,50.532,
2008-01,5.335,
2008-04,-47.001,
2008-07,27.991,
2008-10,38.390,
2009-01,-25.711,
2009-04,-9.187,
2009-07,8.298,
2009-10,32.440,
2010-01,3.552,
2010-04,-1.414,
2010-07,45.171,
2010-10,12.431,
2011-01,138.849,
2011-04,40.384,
2011-07,28.597,
2011-10,11.168,
2012-01,-18.899,
2012-04,-65.390,
2012-07,-107.079,
2012-10,5.133,
2013-01,853.698,
2013-04,-825.248,
2013-07,-61.622,
2013-10,14.189,
2014-01,77.436,Provisional value
2014-04,-79.506,Provisional value
2014-07,-157.961,Provisional value
2014-10,-69.405,Provisional value
