"",BBK01.OEAD38M,BBK01.OEAD38M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:22,
2002-01,1.341,
2002-04,1.349,
2002-07,1.263,
2002-10,1.217,
2003-01,1.197,
2003-04,1.208,
2003-07,1.171,
2003-10,1.177,
2004-01,1.152,
2004-04,1.146,
2004-07,1.139,
2004-10,1.109,
2005-01,1.081,
2005-04,1.065,
2005-07,1.052,
2005-10,1.066,
2006-01,1.050,
2006-04,1.050,
2006-07,1.017,
2006-10,1.044,
2007-01,1.008,
2007-04,1.146,
2007-07,1.119,
2007-10,1.117,
2008-01,1.098,
2008-04,1.112,
2008-07,1.117,
2008-10,1.146,
2009-01,1.037,
2009-04,1.063,
2009-07,1.046,
2009-10,1.061,
2010-01,1.097,
2010-04,1.084,
2010-07,1.084,
2010-10,1.044,
2011-01,1.033,
2011-04,1.019,
2011-07,1.022,
2011-10,1.012,
2012-01,0.990,
2012-04,0.993,
2012-07,0.954,
2012-10,0.959,
2013-01,0.944,
2013-04,0.928,
2013-07,0.918,
2013-10,0.920,
2014-01,0.913,
2014-04,0.919,
2014-07,0.922,
