"",BBSF2.M.1.T.00000.AKT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Equity funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:17,
2009-09,137410,
2009-10,134345,
2009-11,134627,
2009-12,142817,
2010-01,137082,
2010-02,138513,
2010-03,148535,
2010-04,147905,
2010-05,147566,
2010-06,140949,
2010-07,143883,
2010-08,141189,
2010-09,145600,
2010-10,151393,
2010-11,154198,
2010-12,162874,
2011-01,160842,
2011-02,163665,
2011-03,160440,
2011-04,163591,
2011-05,163912,
2011-06,161435,
2011-07,162482,
2011-08,142564,
2011-09,136478,
2011-10,145780,
2011-11,142324,
2011-12,145401,
2012-01,153319,
2012-02,157719,
2012-03,157282,
2012-04,148125,
2012-05,144038,
2012-06,146012,
2012-07,154100,
2012-08,155851,
2012-09,158539,
2012-10,158385,
2012-11,161308,
2012-12,166663,
2013-01,170073,
2013-02,173216,
2013-03,178199,
2013-04,179183,
2013-05,182968,
2013-06,175815,
2013-07,182111,
2013-08,180712,
2013-09,187265,
2013-10,194269,
2013-11,198628,
2013-12,198593,
2014-01,193800,
2014-02,200663,
2014-03,199065,
2014-04,204653,
2014-05,210743,
2014-06,211795,
2014-07,209703,
2014-08,215067,
2014-09,212359,
2014-10,203322,
2014-11,212723,
