"",BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:51,
1991-01,-26.299,
1991-04,-15.659,
1991-07,-15.659,
1991-10,-27.419,
1992-01,12.846,
1992-04,16.282,
1992-07,16.282,
1992-10,16.282,
1993-01,27.340,
1993-04,32.196,
1993-07,32.023,
1993-10,25.507,
1994-01,-12.133,
1994-04,-24.725,
1994-07,-4.025,
1994-10,-4.061,
1995-01,14.044,
1995-04,13.422,
1995-07,16.003,
1995-10,16.003,
1996-01,-14.185,
1996-04,-13.391,
1996-07,-13.391,
1996-10,-15.777,
1997-01,-31.699,
1997-04,-33.794,
1997-07,-31.699,
1997-10,-31.699,
1998-01,-42.216,
1998-04,2.198,
1998-07,12.780,
1998-10,-34.812,
1999-01,21.000,
1999-04,-52.729,
1999-07,24.000,
1999-10,-2.051,
2000-01,14.075,
2000-04,23.740,
2000-07,48.000,
2000-10,48.000,
2001-01,64.851,
2001-04,-8.176,
2001-07,-15.492,
2001-10,138.731,
2002-01,1.269,
2002-04,-14.444,
2002-07,33.840,
2002-10,-26.077,
2003-01,-20.994,
2003-04,40.651,
2003-07,47.955,
2003-10,14.564,
2004-01,80.657,
2004-04,88.206,
2004-07,90.192,
2004-10,101.669,
2005-01,3.227,
2005-04,12.486,
2005-07,22.330,
2005-10,16.141,
2006-01,117.276,
2006-04,115.527,
2006-07,-15.659,
2006-10,64.956,
2007-01,256.005,
2007-04,263.605,
2007-07,227.704,
2007-10,40.375,
2008-01,-563.444,
2008-04,-22.013,
2008-07,-75.229,
2008-10,-73.020,
2009-01,64.697,
2009-04,0.611,
2009-07,6.460,
2009-10,-13.767,
2010-01,79.503,
2010-04,12.616,
2010-07,90.552,
2010-10,44.320,
2011-01,130.878,
2011-04,90.567,
2011-07,145.282,
2011-10,71.102,
2012-01,160.146,
2012-04,28.241,
2012-07,117.882,
2012-10,14.699,
2013-01,74.443,
2013-04,28.961,
2013-07,2.825,
2013-10,36.022,
2014-01,108.329,Provisional value
2014-04,2.377,Provisional value
2014-07,-59.613,Provisional value
2014-10,-227.482,Provisional value
