"",BBK01.OEYK03L,BBK01.OEYK03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:01,
2002-01,0.054,
2002-04,0.059,
2002-07,0.060,
2002-10,0.058,
2003-01,0.099,
2003-04,0.073,
2003-07,0.073,
2003-10,0.082,
2004-01,0.093,
2004-04,0.094,
2004-07,0.078,
2004-10,0.094,
2005-01,0.102,
2005-04,0.107,
2005-07,0.098,
2005-10,0.062,
2006-01,0.065,
2006-04,0.115,
2006-07,0.134,
2006-10,0.093,
2007-01,0.079,
2007-04,0.093,
2007-07,0.049,
2007-10,0.035,
2008-01,0.047,
2008-04,0.047,
2008-07,0.067,
2008-10,0.053,
2009-01,0.062,
2009-04,0.064,
2009-07,0.055,
2009-10,0.052,
2010-01,0.044,
2010-04,0.043,
2010-07,0.025,
2010-10,0.049,
2011-01,0.048,
2011-04,0.033,
2011-07,0.034,
2011-10,0.019,
2012-01,0.020,
2012-04,0.011,
2012-07,0.020,
2012-10,0.019,
2013-01,0.018,
2013-04,0.017,
2013-07,0.007,
2013-10,0.006,
2014-01,0.004,
2014-04,0.005,
2014-07,0.005,
