"",BBK01.OEAE20M,BBK01.OEAE20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:26,
2002-01,0.297,
2002-04,0.305,
2002-07,0.311,
2002-10,0.298,
2003-01,0.301,
2003-04,0.282,
2003-07,0.277,
2003-10,0.277,
2004-01,0.274,
2004-04,0.299,
2004-07,0.264,
2004-10,0.265,
2005-01,0.276,
2005-04,0.268,
2005-07,0.270,
2005-10,0.266,
2006-01,0.286,
2006-04,0.267,
2006-07,0.260,
2006-10,0.244,
2007-01,0.251,
2007-04,0.251,
2007-07,0.259,
2007-10,0.255,
2008-01,0.271,
2008-04,0.325,
2008-07,0.363,
2008-10,0.349,
2009-01,0.385,
2009-04,0.350,
2009-07,0.319,
2009-10,0.321,
2010-01,0.304,
2010-04,0.490,
2010-07,0.494,
2010-10,0.465,
2011-01,0.512,
2011-04,0.497,
2011-07,0.469,
2011-10,0.338,
2012-01,0.324,
2012-04,0.346,
2012-07,0.374,
2012-10,0.386,
2013-01,0.344,
2013-04,0.356,
2013-07,0.341,
2013-10,0.410,
2014-01,0.346,
2014-04,0.345,
2014-07,0.366,
