"",BBK01.OEYJ03S,BBK01.OEYJ03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:46,
2002-01,0.045,
2002-04,0.043,
2002-07,0.045,
2002-10,0.052,
2003-01,0.053,
2003-04,0.055,
2003-07,0.056,
2003-10,0.055,
2004-01,0.056,
2004-04,0.056,
2004-07,0.057,
2004-10,0.069,
2005-01,0.061,
2005-04,0.058,
2005-07,0.054,
2005-10,0.095,
2006-01,0.077,
2006-04,0.085,
2006-07,0.087,
2006-10,0.111,
2007-01,0.084,
2007-04,0.098,
2007-07,0.074,
2007-10,0.068,
2008-01,0.077,
2008-04,0.071,
2008-07,0.077,
2008-10,0.059,
2009-01,0.056,
2009-04,0.067,
2009-07,0.102,
2009-10,0.148,
2010-01,0.175,
2010-04,0.165,
2010-07,0.168,
2010-10,0.175,
2011-01,0.185,
2011-04,0.185,
2011-07,0.187,
2011-10,0.267,
2012-01,0.283,
2012-04,0.307,
2012-07,0.318,
2012-10,0.345,
2013-01,0.447,
2013-04,0.631,
2013-07,0.607,
2013-10,0.608,
2014-01,0.610,
2014-04,0.612,
2014-07,0.631,
