"",BBK01.OECK04G,BBK01.OECK04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:56,
2002-01,0.434,
2002-04,0.420,
2002-07,0.553,
2002-10,0.491,
2003-01,0.373,
2003-04,0.312,
2003-07,0.258,
2003-10,0.241,
2004-01,0.214,
2004-04,0.208,
2004-07,0.209,
2004-10,0.220,
2005-01,0.219,
2005-04,0.220,
2005-07,0.243,
2005-10,0.262,
2006-01,0.274,
2006-04,0.284,
2006-07,0.317,
2006-10,0.426,
2007-01,0.446,
2007-04,0.449,
2007-07,0.534,
2007-10,0.696,
2008-01,0.642,
2008-04,0.679,
2008-07,0.762,
2008-10,0.690,
2009-01,0.518,
2009-04,0.593,
2009-07,0.518,
2009-10,0.341,
2010-01,0.218,
2010-04,0.132,
2010-07,0.160,
2010-10,0.156,
2011-01,0.162,
2011-04,0.182,
2011-07,0.197,
2011-10,0.215,
2012-01,0.206,
2012-04,0.194,
2012-07,0.184,
2012-10,0.156,
2013-01,0.145,
2013-04,0.132,
2013-07,0.139,
2013-10,0.138,
2014-01,0.165,
2014-04,0.288,
2014-07,0.262,
