"",BBSF2.M.1.T.00000.IMM01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:48,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,2407,
1993-05,2599,
1993-06,2664,
1993-07,3254,
1993-08,3159,
1993-09,3495,
1993-10,4863,
1993-11,5680,
1993-12,5179,
1994-01,6535,
1994-02,6291,
1994-03,4813,
1994-04,4688,
1994-05,4603,
1994-06,4522,
1994-07,4643,
1994-08,4033,
1994-09,3674,
1994-10,3762,
1994-11,3605,
1994-12,3761,
1995-01,3942,
1995-02,4005,
1995-03,4052,
1995-04,4325,
1995-05,4206,
1995-06,3507,
1995-07,3426,
1995-08,3531,
1995-09,3480,
1995-10,3426,
1995-11,3632,
1995-12,3690,
1996-01,4754,
1996-02,4466,
1996-03,4654,
1996-04,5097,
1996-05,4848,
1996-06,4459,
1996-07,5447,
1996-08,5643,
1996-09,4894,
1996-10,4561,
1996-11,4767,
1996-12,4456,
1997-01,5218,
1997-02,5265,
1997-03,5156,
1997-04,4715,
1997-05,4688,
1997-06,4507,
1997-07,4404,
1997-08,4469,
1997-09,4609,
1997-10,6050,
1997-11,5778,
1997-12,5337,
1998-01,5710,
1998-02,4880,
1998-03,4717,
1998-04,4443,
1998-05,4601,
1998-06,4326,
1998-07,4185,
1998-08,5067,
1998-09,6061,
1998-10,5084,
1998-11,5155,
1998-12,6412,
1999-01,6501,
1999-02,6403,
1999-03,5527,
1999-04,5694,
1999-05,5265,
1999-06,4623,
1999-07,4977,
1999-08,5497,
1999-09,5762,
1999-10,6345,
1999-11,6467,
1999-12,5925,
2000-01,5065,
2000-02,4928,
2000-03,4574,
2000-04,4165,
2000-05,3918,
2000-06,3852,
2000-07,3880,
2000-08,3641,
2000-09,3713,
2000-10,3950,
2000-11,3972,
2000-12,4397,
2001-01,4130,
2001-02,4413,
2001-03,4203,
2001-04,4196,
2001-05,4281,
2001-06,4898,
2001-07,5397,
2001-08,6445,
2001-09,8126,
2001-10,6480,
2001-11,6613,
2001-12,6811,
2002-01,7724,
2002-02,9326,
2002-03,9223,
2002-04,10319,
2002-05,9953,
2002-06,10958,
2002-07,10854,
2002-08,10875,
2002-09,10741,
2002-10,9970,
2002-11,9637,
2002-12,8889,
2003-01,10205,
2003-02,11368,
2003-03,12370,
2003-04,12893,
2003-05,13311,
2003-06,14337,
2003-07,14238,
2003-08,14527,
2003-09,13880,
2003-10,12202,
2003-11,12157,
2003-12,11245,
2004-01,11547,
2004-02,11867,
2004-03,12234,
2004-04,13092,
2004-05,12877,
2004-06,12356,
2004-07,11828,
2004-08,12093,
2004-09,11670,
2004-10,12749,
2004-11,12679,
2004-12,11867,
2005-01,11554,
2005-02,10642,
2005-03,9870,
2005-04,10059,
2005-05,10352,
2005-06,9369,
2005-07,9907,
2005-08,10362,
2005-09,10488,
2005-10,9996,
2005-11,10422,
2005-12,9767,
2006-01,7614,
2006-02,7891,
2006-03,9558,
2006-04,9106,
2006-05,10192,
2006-06,10379,
2006-07,10664,
2006-08,10647,
2006-09,11137,
2006-10,11078,
2006-11,11475,
2006-12,12249,
2007-01,13473,
2007-02,14302,
2007-03,13431,
2007-04,13247,
2007-05,14177,
2007-06,13567,
2007-07,13980,
2007-08,15167,
2007-09,15451,
2007-10,14529,
2007-11,15612,
2007-12,14744,
2008-01,15431,
2008-02,15334,
2008-03,14508,
2008-04,13890,
2008-05,13577,
2008-06,12970,
2008-07,14345,
2008-08,14847,
2008-09,14297,
2008-10,11377,
2008-11,11101,
2008-12,10858,
2009-01,10708,
2009-02,10756,
2009-03,10588,
2009-04,11109,
2009-05,11719,
2009-06,12088,
2009-07,11045,
2009-08,12120,
2009-09,11794,
2009-10,12329,
2009-11,11733,
2009-12,10747,
2010-01,10798,
2010-02,11069,
2010-03,11080,
2010-04,11072,
2010-05,9773,
2010-06,9518,
2010-07,9871,
2010-08,9479,
2010-09,9545,
2010-10,9170,
2010-11,8621,
2010-12,8653,
2011-01,10439,
2011-02,11434,
2011-03,11657,
2011-04,12128,
2011-05,12074,
2011-06,11869,
2011-07,11813,
2011-08,11875,
2011-09,12718,
2011-10,12945,
2011-11,12828,
2011-12,13085,
2012-01,12987,
2012-02,13366,
2012-03,13940,
2012-04,14361,
2012-05,16321,
2012-06,14672,
2012-07,13815,
2012-08,14017,
2012-09,14224,
2012-10,13689,
2012-11,13580,
2012-12,12672,
2013-01,12031,
2013-02,11885,
2013-03,12930,
2013-04,12107,
2013-05,12043,
2013-06,12032,
2013-07,12327,
2013-08,11703,
2013-09,12372,
2013-10,12320,
2013-11,12140,
2013-12,11267,
2014-01,10188,
2014-02,10222,
2014-03,10149,
2014-04,11198,
2014-05,11206,
2014-06,11036,
2014-07,9991,
2014-08,9819,
2014-09,10360,
2014-10,9991,
2014-11,10377,
