"",BBK01.OEAD15N,BBK01.OEAD15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:28,
2002-01,3.171,
2002-04,3.075,
2002-07,2.701,
2002-10,2.591,
2003-01,2.725,
2003-04,2.734,
2003-07,2.640,
2003-10,2.465,
2004-01,2.177,
2004-04,2.074,
2004-07,2.065,
2004-10,1.945,
2005-01,2.069,
2005-04,1.927,
2005-07,1.804,
2005-10,1.587,
2006-01,1.810,
2006-04,1.802,
2006-07,1.803,
2006-10,1.698,
2007-01,1.829,
2007-04,1.855,
2007-07,1.890,
2007-10,1.822,
2008-01,2.147,
2008-04,2.132,
2008-07,1.977,
2008-10,1.964,
2009-01,2.197,
2009-04,2.136,
2009-07,1.999,
2009-10,1.758,
2010-01,1.918,
2010-04,1.899,
2010-07,1.930,
2010-10,1.806,
2011-01,2.179,
2011-04,2.196,
2011-07,2.032,
2011-10,1.846,
2012-01,2.281,
2012-04,2.193,
2012-07,1.919,
2012-10,2.017,
2013-01,2.267,
2013-04,2.199,
2013-07,2.132,
2013-10,2.135,
2014-01,2.360,
2014-04,2.177,
2014-07,2.145,
