"",BBK01.OECL01O,BBK01.OECL01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:21,
2002-01,1.747,
2002-04,1.735,
2002-07,1.691,
2002-10,1.800,
2003-01,1.779,
2003-04,1.790,
2003-07,1.817,
2003-10,1.897,
2004-01,1.794,
2004-04,1.843,
2004-07,1.915,
2004-10,2.051,
2005-01,3.944,
2005-04,3.983,
2005-07,3.888,
2005-10,3.889,
2006-01,3.834,
2006-04,3.794,
2006-07,3.668,
2006-10,3.758,
2007-01,3.804,
2007-04,3.964,
2007-07,4.128,
2007-10,4.380,
2008-01,4.394,
2008-04,4.544,
2008-07,4.786,
2008-10,5.203,
2009-01,5.206,
2009-04,5.329,
2009-07,5.239,
2009-10,5.107,
2010-01,4.966,
2010-04,4.987,
2010-07,4.919,
2010-10,4.951,
2011-01,4.807,
2011-04,4.787,
2011-07,4.843,
2011-10,4.874,
2012-01,5.148,
2012-04,5.118,
2012-07,5.081,
2012-10,5.092,
2013-01,4.975,
2013-04,5.033,
2013-07,4.906,
2013-10,4.961,
2014-01,4.889,
2014-04,4.875,
2014-07,5.000,
