"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:46,
1991-01,6028.394,
1991-02,5668.663,
1991-03,5548.095,
1991-04,5807.487,
1991-05,5840.163,
1991-06,5989.896,
1991-07,5919.722,
1991-08,5758.718,
1991-09,5843.168,
1991-10,5839.724,
1991-11,5908.045,
1991-12,5970.969,
1992-01,5915.742,
1992-02,5643.795,
1992-03,5801.220,
1992-04,5859.756,
1992-05,5883.220,
1992-06,5964.965,
1992-07,6155.395,
1992-08,6135.020,
1992-09,5870.033,
1992-10,5883.325,
1992-11,5892.895,
1992-12,5912.509,
1993-01,6046.649,
1993-02,5867.869,
1993-03,6146.629,
1993-04,6151.285,
1993-05,5706.718,
1993-06,6065.081,
1993-07,5759.724,
1993-08,5557.240,
1993-09,5725.852,
1993-10,5692.580,
1993-11,5857.043,
1993-12,6008.510,
1994-01,5546.520,
1994-02,4990.918,
1994-03,5734.185,
1994-04,5452.342,
1994-05,5283.167,
1994-06,5199.725,
1994-07,5339.959,
1994-08,5241.588,
1994-09,5379.437,
1994-10,6535.857,
1994-11,5758.054,
1994-12,5678.456,
1995-01,5349.925,
1995-02,5242.852,
1995-03,5825.790,
1995-04,5379.390,
1995-05,5342.304,
1995-06,5732.992,
1995-07,5590.373,
1995-08,5097.934,
1995-09,5344.722,
1995-10,5196.157,
1995-11,4878.588,
1995-12,8778.089,
1996-01,5433.468,
1996-02,5488.292,
1996-03,5974.009,
1996-04,5603.924,
1996-05,5401.926,
1996-06,5637.797,
1996-07,5947.248,
1996-08,5445.124,
1996-09,5666.496,
1996-10,5612.587,
1996-11,5818.106,
1996-12,9598.094,
1997-01,5864.881,
1997-02,6320.144,
1997-03,6314.431,
1997-04,6163.344,
1997-05,6196.784,
1997-06,6707.293,
1997-07,6278.915,
1997-08,6072.147,
1997-09,6217.952,
1997-10,6419.048,
1997-11,6229.482,
1997-12,11019.522,
1998-01,6434.974,
1998-02,5731.830,
1998-03,6701.131,
1998-04,6324.992,
1998-05,6302.824,
1998-06,7341.026,
1998-07,6801.781,
1998-08,6193.327,
1998-09,6531.285,
1998-10,5491.452,
1998-11,6205.491,
1998-12,11857.567,
1999-01,6004.118,
1999-02,6426.371,
1999-03,7008.752,
1999-04,8166.277,
1999-05,7269.426,
1999-06,7803.346,
1999-07,7233.934,
1999-08,6825.359,
1999-09,7153.181,
1999-10,7329.232,
1999-11,7527.246,
1999-12,12855.585,
2000-01,8106.588,
2000-02,7932.560,
2000-03,10545.506,
2000-04,9064.332,
2000-05,9888.363,
2000-06,9848.198,
2000-07,9592.332,
2000-08,8822.046,
