"",BBFN1.M.DE.N.1.L.U2.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:45,
1995-01,15.907,
1995-02,15.906,
1995-03,15.923,
1995-04,16.195,
1995-05,16.312,
1995-06,16.674,
1995-07,17.248,
1995-08,17.266,
1995-09,17.437,
1995-10,17.434,
1995-11,17.404,
1995-12,17.151,
1996-01,17.069,
1996-02,17.075,
1996-03,16.784,
1996-04,16.747,
1996-05,16.826,
1996-06,16.577,
1996-07,16.912,
1996-08,16.978,
1996-09,17.443,
1996-10,17.529,
1996-11,17.547,
1996-12,16.497,
1997-01,16.717,
1997-02,17.279,
1997-03,17.395,
1997-04,17.519,
1997-05,17.648,
1997-06,17.735,
1997-07,18.657,
1997-08,18.878,
1997-09,19.905,
1997-10,19.807,
1997-11,19.754,
1997-12,19.868,
1998-01,20.448,
1998-02,22.291,
1998-03,22.771,
1998-04,23.478,
1998-05,24.184,
1998-06,24.552,
1998-07,26.218,
1998-08,26.245,
1998-09,26.520,
1998-10,28.132,
1998-11,27.396,
1998-12,29.732,
1999-01,29.833,
1999-02,29.845,
1999-03,29.999,
1999-04,29.855,
1999-05,34.272,
1999-06,36.143,
1999-07,39.144,
1999-08,40.086,
1999-09,42.446,
1999-10,45.069,
1999-11,46.501,
1999-12,48.381,
2000-01,53.692,
2000-02,54.253,
2000-03,54.322,
2000-04,50.801,
2000-05,51.289,
2000-06,53.218,
2000-07,69.078,
2000-08,69.014,
2000-09,70.006,
2000-10,69.699,
2000-11,67.012,
2000-12,108.376,
2001-01,110.635,
2001-02,110.330,
2001-03,110.862,
2001-04,109.193,
2001-05,113.248,
2001-06,114.521,
2001-07,123.223,
2001-08,124.492,
2001-09,128.319,
2001-10,129.244,
2001-11,132.256,
2001-12,133.024,
2002-01,145.813,
2002-02,148.344,
2002-03,142.365,
2002-04,150.208,
2002-05,169.638,
2002-06,165.253,
2002-07,167.145,
2002-08,167.725,
2002-09,169.889,
2002-10,171.921,
2002-11,173.676,
2002-12,176.392,
2003-01,175.389,
2003-02,176.669,
2003-03,178.469,
2003-04,181.972,
2003-05,182.429,
2003-06,185.586,
2003-07,184.720,
2003-08,188.059,
2003-09,189.015,
2003-10,188.874,
2003-11,189.442,
2003-12,180.574,
2004-01,177.840,
2004-02,153.869,
2004-03,152.184,
2004-04,153.335,
2004-05,158.844,
2004-06,163.491,
2004-07,162.756,
2004-08,162.693,
2004-09,160.513,
2004-10,157.216,
2004-11,153.736,
2004-12,151.937,
2005-01,155.306,
2005-02,157.601,
2005-03,156.964,
2005-04,157.265,
2005-05,159.699,
2005-06,157.465,
2005-07,153.815,
2005-08,153.126,
2005-09,152.941,
2005-10,158.402,
2005-11,160.176,
2005-12,162.260,
2006-01,166.768,
2006-02,168.870,
2006-03,172.634,
2006-04,172.139,
2006-05,172.008,
2006-06,173.325,
2006-07,173.536,
2006-08,172.742,
2006-09,172.269,
2006-10,172.303,
2006-11,172.683,
2006-12,167.094,
2007-01,166.952,
2007-02,164.539,
2007-03,165.319,
2007-04,166.417,
2007-05,164.295,
2007-06,163.530,
2007-07,162.872,
2007-08,163.816,
2007-09,162.308,
2007-10,163.783,
2007-11,160.525,
2007-12,153.175,
2008-01,154.739,
2008-02,153.584,
2008-03,153.377,
2008-04,157.797,
2008-05,161.793,
2008-06,158.630,
2008-07,159.521,
2008-08,161.077,
2008-09,166.175,
2008-10,170.086,
2008-11,173.601,
2008-12,171.004,
2009-01,178.784,
2009-02,188.879,
2009-03,190.164,
2009-04,192.134,
2009-05,194.952,
2009-06,197.641,
2009-07,202.545,
2009-08,203.015,
2009-09,200.067,
2009-10,201.935,
2009-11,201.885,
2009-12,205.978,
2010-01,203.900,
2010-02,205.014,
2010-03,209.978,
2010-04,212.055,
2010-05,211.468,
2010-06,210.163,
2010-07,212.257,
2010-08,213.382,
2010-09,213.931,
2010-10,213.359,
2010-11,212.500,
2010-12,220.399,
2011-01,219.775,
2011-02,220.049,
2011-03,224.101,
2011-04,225.540,
2011-05,228.608,
2011-06,227.598,
2011-07,230.009,
2011-08,230.038,
2011-09,229.239,
2011-10,230.066,
2011-11,225.181,
2011-12,225.316,
2012-01,227.578,
2012-02,228.784,
2012-03,230.409,
2012-04,234.742,
2012-05,237.360,
2012-06,241.037,
2012-07,240.557,
2012-08,243.337,
2012-09,244.840,
2012-10,245.169,
2012-11,248.020,
2012-12,247.517,
2013-01,249.918,
2013-02,248.916,
2013-03,253.593,
2013-04,267.506,
2013-05,267.877,
2013-06,268.765,
2013-07,267.762,
2013-08,269.050,
2013-09,271.785,
2013-10,283.500,
2013-11,279.394,
2013-12,281.298,
2014-01,280.437,
2014-02,282.455,
2014-03,286.877,
2014-04,285.331,
2014-05,289.121,
2014-06,292.416,
2014-07,292.133,
2014-08,291.993,
2014-09,289.790,
2014-10,291.403,
2014-11,292.416,
2014-12,292.982,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
