"",BBK01.OEAD21V,BBK01.OEAD21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:03,
2002-01,0.587,
2002-04,0.613,
2002-07,0.609,
2002-10,0.598,
2003-01,0.597,
2003-04,0.585,
2003-07,0.594,
2003-10,0.605,
2004-01,0.597,
2004-04,0.584,
2004-07,0.585,
2004-10,0.464,
2005-01,0.494,
2005-04,0.490,
2005-07,0.376,
2005-10,0.376,
2006-01,0.364,
2006-04,0.351,
2006-07,0.357,
2006-10,0.474,
2007-01,0.483,
2007-04,0.463,
2007-07,0.440,
2007-10,0.444,
2008-01,0.415,
2008-04,0.361,
2008-07,0.391,
2008-10,0.358,
2009-01,0.360,
2009-04,0.408,
2009-07,0.385,
2009-10,0.453,
2010-01,0.339,
2010-04,0.337,
2010-07,0.317,
2010-10,0.317,
2011-01,0.293,
2011-04,0.294,
2011-07,0.326,
2011-10,0.353,
2012-01,0.354,
2012-04,0.366,
2012-07,0.368,
2012-10,0.383,
2013-01,0.407,
2013-04,0.415,
2013-07,0.414,
2013-10,0.428,
2014-01,0.435,
2014-04,0.437,
2014-07,0.406,
