"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U9.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U9.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / All areas other than EU and ref./home area / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:08,
2009-09,13248,
2009-10,13319,
2009-11,13691,
2009-12,14229,
2010-01,15350,
2010-02,15274,
2010-03,16172,
2010-04,17264,
2010-05,18796,
2010-06,19330,
2010-07,18931,
2010-08,20405,
2010-09,20358,
2010-10,21454,
2010-11,22297,
2010-12,21781,
2011-01,21017,
2011-02,21485,
2011-03,21697,
2011-04,22114,
2011-05,23186,
2011-06,23335,
2011-07,24319,
2011-08,24661,
2011-09,26733,
2011-10,26856,
2011-11,26500,
2011-12,27937,
2012-01,28854,
2012-02,29083,
2012-03,28965,
2012-04,30249,
2012-05,31411,
2012-06,31898,
2012-07,34176,
2012-08,33812,
2012-09,34052,
2012-10,34462,
2012-11,34832,
2012-12,34657,
2013-01,34314,
2013-02,35678,
2013-03,36535,
2013-04,37594,
2013-05,36888,
2013-06,36283,
2013-07,36773,
2013-08,36155,
2013-09,36894,
2013-10,37267,
2013-11,40480,
2013-12,39602,
2014-01,41125,
2014-02,38077,
2014-03,39553,
2014-04,40636,
2014-05,42730,
2014-06,42914,
2014-07,44220,
2014-08,46151,
2014-09,49123,
2014-10,50134,
2014-11,51229,
