"",BBK01.WXI001,BBK01.WXI001_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:14,
2009-09,43698,
2009-10,43028,
2009-11,44195,
2009-12,44935,
2010-01,50549,
2010-02,49647,
2010-03,49635,
2010-04,45419,
2010-05,51025,
2010-06,48078,
2010-07,45789,
2010-08,46854,
2010-09,46180,
2010-10,44829,
2010-11,49452,
2010-12,45704,
2011-01,45702,
2011-02,46911,
2011-03,44785,
2011-04,45038,
2011-05,45408,
2011-06,44190,
2011-07,44891,
2011-08,47074,
2011-09,49823,
2011-10,47818,
2011-11,49137,
2011-12,47380,
2012-01,48157,
2012-02,46473,
2012-03,45178,
2012-04,48537,
2012-05,53614,
2012-06,51326,
2012-07,50428,
2012-08,47279,
2012-09,45736,
2012-10,43689,
2012-11,46805,
2012-12,48753,
2013-01,49378,
2013-02,50601,
2013-03,52044,
2013-04,54238,
2013-05,54799,
2013-06,51050,
2013-07,48362,
2013-08,49389,
2013-09,48114,
2013-10,48255,
2013-11,46454,
2013-12,44413,
2014-01,47677,
2014-02,45318,
2014-03,43926,
2014-04,53080,
2014-05,51867,
2014-06,45625,
2014-07,47639,
2014-08,49304,
2014-09,53556,
2014-10,51497,
2014-11,54239,
