"",BBSF2.M.1.S.00000.REN01.A.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.A.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net sales receipts / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:56,
1993-04,-1032,
1993-05,457,
1993-06,393,
1993-07,965,
1993-08,1772,
1993-09,742,
1993-10,746,
1993-11,542,
1993-12,1454,
1994-01,675,
1994-02,965,
1994-03,1016,
1994-04,456,
1994-05,268,
1994-06,2064,
1994-07,688,
1994-08,647,
1994-09,315,
1994-10,205,
1994-11,888,
1994-12,1079,
1995-01,292,
1995-02,632,
1995-03,1379,
1995-04,190,
1995-05,161,
1995-06,229,
1995-07,908,
1995-08,-46,
1995-09,320,
1995-10,205,
1995-11,-81,
1995-12,2097,
1996-01,1674,
1996-02,830,
1996-03,777,
1996-04,615,
1996-05,546,
1996-06,575,
1996-07,568,
1996-08,452,
1996-09,-45,
1996-10,1481,
1996-11,634,
1996-12,1494,
1997-01,1576,
1997-02,985,
1997-03,1520,
1997-04,1487,
1997-05,314,
1997-06,2371,
1997-07,369,
1997-08,941,
1997-09,-295,
1997-10,-1065,
1997-11,347,
1997-12,2979,
1998-01,1008,
1998-02,1339,
1998-03,723,
1998-04,607,
1998-05,1607,
1998-06,929,
1998-07,1186,
1998-08,1953,
1998-09,322,
1998-10,1330,
1998-11,-580,
1998-12,3937,
1999-01,2157,
1999-02,1441,
1999-03,568,
1999-04,2928,
1999-05,1810,
1999-06,307,
1999-07,577,
1999-08,61,
1999-09,407,
1999-10,714,
1999-11,1640,
1999-12,6624,
2000-01,1305,
2000-02,-351,
2000-03,701,
2000-04,1734,
2000-05,1063,
2000-06,572,
2000-07,639,
2000-08,1011,
2000-09,158,
2000-10,585,
2000-11,-687,
2000-12,3678,
2001-01,3160,
2001-02,1015,
2001-03,138,
2001-04,396,
2001-05,-1506,
2001-06,515,
2001-07,1332,
2001-08,37,
2001-09,485,
2001-10,505,
2001-11,-10,
2001-12,7679,
2002-01,603,
2002-02,999,
2002-03,-267,
2002-04,1170,
2002-05,884,
2002-06,-681,
2002-07,-316,
2002-08,1283,
2002-09,422,
2002-10,1753,
2002-11,-149,
2002-12,1381,
2003-01,1179,
2003-02,1837,
2003-03,-1260,
2003-04,253,
2003-05,229,
2003-06,274,
2003-07,698,
2003-08,341,
2003-09,148,
2003-10,-3181,
2003-11,530,
2003-12,-2426,
2004-01,-2137,
2004-02,-306,
2004-03,-266,
2004-04,-214,
2004-05,-994,
2004-06,-234,
2004-07,-1896,
2004-08,-768,
2004-09,-443,
2004-10,573,
2004-11,1235,
2004-12,4494,
2005-01,1504,
2005-02,723,
2005-03,-357,
2005-04,-151,
2005-05,1257,
2005-06,8,
2005-07,1629,
2005-08,-1347,
2005-09,429,
2005-10,-406,
2005-11,-77,
2005-12,1765,
2006-01,1298,
2006-02,-771,
2006-03,1117,
2006-04,-365,
2006-05,196,
2006-06,-43,
2006-07,-4331,
2006-08,-7267,
2006-09,9167,
2006-10,-235,
2006-11,83,
2006-12,-524,
2007-01,4125,
2007-02,2395,
2007-03,1371,
2007-04,3042,
2007-05,-2943,
2007-06,618,
2007-07,552,
2007-08,384,
2007-09,-22,
2007-10,427,
2007-11,-3192,
2007-12,7117,
2008-01,-1964,
2008-02,450,
2008-03,869,
2008-04,1868,
2008-05,809,
2008-06,-1922,
2008-07,126,
2008-08,1047,
2008-09,706,
2008-10,-669,
2008-11,340,
2008-12,1890,
2009-01,2601,
2009-02,739,
2009-03,2081,
2009-04,111,
2009-05,-1596,
2009-06,183,
2009-07,5447,
2009-08,2389,
2009-09,2018,
2009-10,-860,
2009-11,1489,
2009-12,3999,
2010-01,4714,
2010-02,2705,
2010-03,1880,
2010-04,1622,
2010-05,1315,
2010-06,-517,
2010-07,-589,
2010-08,2030,
2010-09,2366,
2010-10,4895,
2010-11,2535,
2010-12,2637,
2011-01,2354,
2011-02,2003,
2011-03,-143,
2011-04,-304,
2011-05,-1922,
2011-06,1005,
2011-07,108,
2011-08,704,
2011-09,241,
2011-10,1758,
2011-11,2213,
2011-12,5952,
2012-01,4629,
2012-02,2822,
2012-03,2765,
2012-04,1177,
2012-05,140,
2012-06,3238,
2012-07,2040,
2012-08,2673,
2012-09,985,
2012-10,2006,
2012-11,1128,
2012-12,3769,
2013-01,3575,
2013-02,451,
2013-03,2088,
2013-04,728,
2013-05,52,
2013-06,-492,
2013-07,1902,
2013-08,80,
2013-09,350,
2013-10,3937,
2013-11,7441,
2013-12,2735,
2014-01,2557,
2014-02,2474,
2014-03,7260,
2014-04,277,
2014-05,1914,
2014-06,1228,
2014-07,2536,
2014-08,2133,
2014-09,1895,
2014-10,1942,
2014-11,1496,
