"",BBK01.OEXB01I,BBK01.OEXB01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:07,
2002-01,27.642,
2002-04,26.215,
2002-07,26.269,
2002-10,25.567,
2003-01,25.097,
2003-04,25.671,
2003-07,21.590,
2003-10,19.649,
2004-01,20.491,
2004-04,20.016,
2004-07,20.287,
2004-10,20.225,
2005-01,21.095,
2005-04,21.497,
2005-07,21.990,
2005-10,21.229,
2006-01,21.856,
2006-04,22.349,
2006-07,18.958,
2006-10,22.498,
2007-01,23.778,
2007-04,24.724,
2007-07,25.615,
2007-10,26.108,
2008-01,27.781,
2008-04,31.111,
2008-07,32.984,
2008-10,35.380,
2009-01,36.231,
2009-04,37.070,
2009-07,37.251,
2009-10,37.928,
2010-01,38.020,
2010-04,38.212,
2010-07,37.727,
2010-10,38.042,
2011-01,37.551,
2011-04,37.457,
2011-07,37.640,
2011-10,40.581,
2012-01,40.872,
2012-04,37.820,
2012-07,37.891,
2012-10,37.625,
2013-01,38.047,
2013-04,37.880,
2013-07,37.957,
2013-10,38.894,
2014-01,38.731,
2014-04,38.527,
2014-07,38.803,
