"",BBK01.OEAH61V,BBK01.OEAH61V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:07,
2002-01,0.261,
2002-04,0.270,
2002-07,0.272,
2002-10,0.294,
2003-01,0.277,
2003-04,0.272,
2003-07,0.270,
2003-10,0.267,
2004-01,0.246,
2004-04,0.243,
2004-07,0.243,
2004-10,0.252,
2005-01,0.424,
2005-04,0.419,
2005-07,0.409,
2005-10,0.413,
2006-01,0.411,
2006-04,0.443,
2006-07,0.441,
2006-10,0.438,
2007-01,0.452,
2007-04,0.458,
2007-07,0.470,
2007-10,0.529,
2008-01,0.571,
2008-04,0.539,
2008-07,0.553,
2008-10,0.568,
2009-01,0.555,
2009-04,0.558,
2009-07,0.574,
2009-10,0.575,
2010-01,0.561,
2010-04,0.540,
2010-07,0.534,
2010-10,0.520,
2011-01,0.531,
2011-04,0.522,
2011-07,0.511,
2011-10,0.555,
2012-01,0.584,
2012-04,0.568,
2012-07,0.523,
2012-10,0.487,
2013-01,0.572,
2013-04,0.569,
2013-07,0.549,
2013-10,0.543,
2014-01,0.545,
2014-04,0.528,
2014-07,0.521,
