"",BBK01.OEAG01R,BBK01.OEAG01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:33,
2002-01,2.396,
2002-04,2.410,
2002-07,2.444,
2002-10,2.593,
2003-01,2.797,
2003-04,2.720,
2003-07,2.726,
2003-10,2.841,
2004-01,2.850,
2004-04,2.849,
2004-07,2.841,
2004-10,2.879,
2005-01,2.958,
2005-04,2.937,
2005-07,2.929,
2005-10,2.902,
2006-01,2.833,
2006-04,2.813,
2006-07,2.809,
2006-10,2.759,
2007-01,2.288,
2007-04,2.234,
2007-07,2.195,
2007-10,2.131,
2008-01,2.189,
2008-04,2.196,
2008-07,2.505,
2008-10,2.342,
2009-01,2.282,
2009-04,2.226,
2009-07,2.181,
2009-10,2.229,
2010-01,2.309,
2010-04,2.308,
2010-07,2.342,
2010-10,2.414,
2011-01,2.481,
2011-04,2.488,
2011-07,2.434,
2011-10,2.486,
2012-01,2.538,
2012-04,2.506,
2012-07,2.524,
2012-10,2.562,
2013-01,2.590,
2013-04,2.635,
2013-07,2.796,
2013-10,2.833,
2014-01,2.892,
2014-04,2.931,
2014-07,2.908,
