"",BBK01.OEAB01M,BBK01.OEAB01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:14,
2002-01,234.592,
2002-04,229.713,
2002-07,230.899,
2002-10,231.653,
2003-01,234.589,
2003-04,247.448,
2003-07,249.256,
2003-10,248.258,
2004-01,247.958,
2004-04,249.469,
2004-07,247.674,
2004-10,244.354,
2005-01,251.102,
2005-04,253.250,
2005-07,252.157,
2005-10,252.245,
2006-01,253.846,
2006-04,257.008,
2006-07,249.504,
2006-10,251.758,
2007-01,255.021,
2007-04,253.370,
2007-07,255.506,
2007-10,258.127,
2008-01,258.218,
2008-04,260.268,
2008-07,262.607,
2008-10,264.447,
2009-01,267.181,
2009-04,269.338,
2009-07,269.208,
2009-10,269.325,
2010-01,272.898,
2010-04,269.373,
2010-07,269.043,
2010-10,271.440,
2011-01,270.112,
2011-04,272.380,
2011-07,274.591,
2011-10,277.129,
2012-01,276.586,
2012-04,281.200,
2012-07,281.865,
2012-10,281.787,
2013-01,280.557,
2013-04,280.840,
2013-07,279.131,
2013-10,278.763,
2014-01,277.931,
2014-04,277.806,
2014-07,280.135,
