"",BBK01.OEGB12I,BBK01.OEGB12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:03,
2002-01,19.162,
2002-04,19.182,
2002-07,19.136,
2002-10,18.860,
2003-01,18.107,
2003-04,17.856,
2003-07,18.199,
2003-10,17.766,
2004-01,17.689,
2004-04,17.582,
2004-07,7.375,
2004-10,6.991,
2005-01,6.783,
2005-04,6.574,
2005-07,6.693,
2005-10,6.583,
2006-01,6.569,
2006-04,6.492,
2006-07,7.549,
2006-10,7.259,
2007-01,6.982,
2007-04,7.051,
2007-07,7.052,
2007-10,7.440,
2008-01,7.549,
2008-04,7.382,
2008-07,7.251,
2008-10,7.095,
2009-01,7.138,
2009-04,6.919,
2009-07,6.868,
2009-10,6.746,
2010-01,6.638,
2010-04,6.655,
2010-07,6.678,
2010-10,6.203,
2011-01,6.020,
2011-04,6.163,
2011-07,6.323,
2011-10,6.425,
2012-01,6.655,
2012-04,6.735,
2012-07,6.838,
2012-10,6.838,
2013-01,6.745,
2013-04,6.781,
2013-07,6.730,
2013-10,6.944,
2014-01,6.769,
2014-04,6.829,
2014-07,7.437,
