"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:27,
1968-12,1.223,
1969-01,1.512,
1969-02,1.595,
1969-03,1.453,
1969-04,1.657,
1969-05,2.436,
1969-06,1.988,
1969-07,1.869,
1969-08,2.003,
1969-09,2.837,
1969-10,2.798,
1969-11,2.247,
1969-12,1.244,
1970-01,1.119,
1970-02,1.356,
1970-03,1.595,
1970-04,1.897,
1970-05,2.150,
1970-06,2.524,
1970-07,2.896,
1970-08,3.362,
1970-09,3.440,
1970-10,3.793,
1970-11,4.274,
1970-12,4.079,
1971-01,4.835,
1971-02,5.004,
1971-03,5.685,
1971-04,6.681,
1971-05,7.160,
1971-06,7.357,
1971-07,7.423,
1971-08,6.647,
1971-09,5.581,
1971-10,4.911,
1971-11,4.853,
1971-12,4.366,
1972-01,4.831,
1972-02,4.761,
1972-03,3.712,
1972-04,3.004,
1972-05,2.931,
1972-06,3.044,
1972-07,3.822,
1972-08,4.280,
1972-09,4.067,
1972-10,3.489,
1972-11,2.938,
1972-12,2.174,
1973-01,2.236,
1973-02,1.922,
1973-03,1.838,
1973-04,1.781,
1973-05,1.820,
1973-06,1.696,
1973-07,1.549,
1973-08,1.425,
1973-09,1.283,
1973-10,1.318,
1973-11,1.321,
1973-12,1.095,
1974-01,1.131,
1974-02,1.279,
1974-03,1.270,
1974-04,1.930,
1974-05,1.895,
1974-06,1.874,
1974-07,2.016,
1974-08,2.166,
1974-09,2.342,
1974-10,2.768,
1974-11,3.275,
1974-12,3.232,
1975-01,3.633,
1975-02,4.668,
1975-03,4.556,
1975-04,4.826,
1975-05,4.506,
1975-06,4.731,
1975-07,5.183,
1975-08,6.337,
1975-09,6.212,
1975-10,6.591,
1975-11,5.950,
1975-12,5.160,
1976-01,4.747,
1976-02,5.248,
1976-03,5.764,
1976-04,6.161,
1976-05,5.836,
1976-06,6.113,
1976-07,5.603,
1976-08,5.640,
1976-09,5.879,
1976-10,6.718,
1976-11,6.280,
1976-12,5.355,
1977-01,5.692,
1977-02,6.280,
1977-03,6.389,
1977-04,6.310,
1977-05,6.850,
1977-06,6.717,
1977-07,7.498,
1977-08,7.520,
1977-09,7.664,
1977-10,8.879,
1977-11,9.643,
1977-12,9.331,
1978-01,9.189,
1978-02,9.879,
1978-03,9.535,
1978-04,8.940,
1978-05,8.838,
1978-06,9.251,
1978-07,9.429,
1978-08,10.270,
1978-09,9.846,
1978-10,11.630,
1978-11,12.299,
1978-12,10.166,
1979-01,10.181,
1979-02,10.465,
1979-03,9.987,
1979-04,9.767,
1979-05,9.367,
1979-06,10.013,
1979-07,10.854,
1979-08,10.999,
1979-09,11.338,
1979-10,12.151,
1979-11,11.841,
1979-12,9.501,
1980-01,12.388,
1980-02,13.966,
1980-03,15.122,
1980-04,15.446,
1980-05,15.838,
1980-06,16.480,
1980-07,17.395,
1980-08,19.150,
1980-09,19.293,
1980-10,19.423,
1980-11,19.695,
1980-12,16.839,
1981-01,19.625,
1981-02,18.636,
1981-03,20.296,
1981-04,22.217,
1981-05,23.197,
1981-06,23.321,
1981-07,24.346,
1981-08,24.861,
1981-09,25.177,
1981-10,24.784,
1981-11,25.530,
1981-12,23.369,
1982-01,25.396,
1982-02,26.521,
1982-03,26.882,
1982-04,27.401,
1982-05,27.898,
1982-06,28.020,
1982-07,28.318,
1982-08,28.611,
1982-09,28.962,
1982-10,29.194,
1982-11,29.421,
1982-12,26.196,
1983-01,28.606,
1983-02,28.831,
1983-03,28.321,
1983-04,27.665,
1983-05,27.300,
1983-06,27.451,
1983-07,27.744,
1983-08,27.804,
1983-09,27.071,
1983-10,27.849,
1983-11,27.973,
1983-12,25.531,
1984-01,26.889,
1984-02,27.786,
1984-03,27.237,
1984-04,27.483,
1984-05,27.442,
1984-06,27.233,
1984-07,28.077,
1984-08,28.893,
1984-09,28.266,
1984-10,28.531,
1984-11,29.269,
1984-12,26.076,
1985-01,26.589,
1985-02,27.037,
1985-03,26.346,
1985-04,26.537,
1985-05,26.558,
1985-06,26.872,
1985-07,26.780,
1985-08,27.564,
1985-09,26.883,
1985-10,26.543,
1985-11,26.492,
1985-12,23.874,
1986-01,25.188,
1986-02,24.965,
1986-03,24.480,
1986-04,23.735,
1986-05,22.968,
1986-06,22.307,
1986-07,21.928,
1986-08,21.825,
1986-09,21.357,
1986-10,21.786,
1986-11,21.215,
1986-12,18.364,
1987-01,19.285,
1987-02,19.740,
1987-03,18.407,
1987-04,17.769,
1987-05,17.407,
1987-06,17.327,
1987-07,17.152,
1987-08,17.242,
1987-09,17.465,
1987-10,18.409,
1987-11,18.824,
1987-12,17.438,
1988-01,18.403,
1988-02,18.647,
1988-03,18.215,
1988-04,17.831,
1988-05,18.093,
1988-06,18.383,
1988-07,18.289,
1988-08,18.422,
1988-09,18.413,
1988-10,18.455,
1988-11,18.569,
1988-12,16.830,
1989-01,17.841,
1989-02,17.689,
1989-03,18.091,
1989-04,17.902,
1989-05,17.860,
1989-06,18.039,
1989-07,18.021,
1989-08,18.617,
1989-09,18.838,
1989-10,19.326,
1989-11,20.162,
1989-12,18.144,
1990-01,19.837,
1990-02,20.618,
1990-03,21.214,
1990-04,21.427,
1990-05,21.209,
1990-06,21.502,
1990-07,21.706,
1990-08,22.266,
1990-09,22.666,
1990-10,23.203,
1990-11,24.152,
1990-12,21.177,
1991-01,22.752,
1991-02,24.586,
1991-03,25.344,
1991-04,26.454,
1991-05,27.057,
1991-06,27.900,
1991-07,27.881,
1991-08,29.316,
1991-09,29.283,
1991-10,29.562,
1991-11,29.401,
1991-12,28.898,
1992-01,28.562,
1992-02,27.353,
1992-03,24.738,
1992-04,23.040,
1992-05,23.791,
1992-06,24.363,
1992-07,26.228,
1992-08,26.347,
1992-09,28.222,
1992-10,28.270,
1992-11,28.950,
1992-12,27.973,
1993-01,30.669,
1993-02,30.742,
1993-03,29.599,
1993-04,30.844,
1993-05,30.696,
1993-06,29.176,
1993-07,28.136,
1993-08,28.902,
1993-09,27.451,
1993-10,27.232,
1993-11,26.191,
1993-12,25.707,
1994-01,25.618,
1994-02,25.794,
1994-03,26.223,
1994-04,25.705,
1994-05,26.009,
1994-06,25.324,
1994-07,25.236,
1994-08,25.097,
1994-09,25.340,
1994-10,25.461,
1994-11,25.457,
1994-12,23.542,
1995-01,24.578,
1995-02,24.856,
1995-03,25.906,
1995-04,25.061,
1995-05,25.758,
1995-06,25.866,
1995-07,25.631,
1995-08,25.931,
1995-09,26.419,
1995-10,26.485,
1995-11,27.035,
1995-12,24.824,
1996-01,25.048,
1996-02,26.612,
1996-03,25.322,
1996-04,26.303,
1996-05,27.346,
1996-06,25.230,
1996-07,24.761,
1996-08,24.777,
1996-09,26.184,
1996-10,26.205,
1996-11,25.804,
1996-12,24.875,
1997-01,23.722,
1997-02,25.305,
1997-03,25.251,
1997-04,27.175,
1997-05,28.235,
1997-06,30.913,
1997-07,31.399,
1997-08,28.608,
1997-09,27.713,
1997-10,30.272,
1997-11,29.371,
1997-12,27.911,
1998-01,29.294,
1998-02,29.217,
1998-03,31.727,
1998-04,31.260,
1998-05,28.939,
1998-06,25.888,comment
1998-07,27.254,
1998-08,25.931,
1998-09,25.600,
1998-10,26.073,
1998-11,27.463,
1998-12,26.413,
1999-01,27.326,
1999-02,26.248,
1999-03,28.449,
1999-04,28.470,
1999-05,27.634,
1999-06,30.062,
1999-07,31.668,
1999-08,33.376,
1999-09,31.814,
1999-10,36.696,
1999-11,33.997,
1999-12,38.648,
2000-01,42.204,
2000-02,51.005,
2000-03,49.541,
2000-04,47.829,
2000-05,48.753,
2000-06,37.726,
2000-07,31.860,
2000-08,30.365,
2000-09,36.567,
2000-10,34.273,
2000-11,32.923,
2000-12,32.231,
2001-01,35.224,
2001-02,30.006,
2001-03,30.021,
2001-04,32.329,
2001-05,36.055,
2001-06,33.009,
2001-07,34.626,
2001-08,32.790,
2001-09,31.275,
2001-10,30.275,
2001-11,30.481,
2001-12,27.334,
2002-01,28.891,
2002-02,30.382,
2002-03,31.367,
2002-04,29.418,
2002-05,31.573,
2002-06,28.934,
2002-07,29.094,
2002-08,29.271,
2002-09,27.511,
2002-10,27.311,
2002-11,27.859,
2002-12,23.509,
2003-01,26.499,
2003-02,23.895,
2003-03,24.089,
2003-04,25.908,
2003-05,23.583,
2003-06,21.651,
2003-07,22.656,
2003-08,22.748,
2003-09,21.263,
2003-10,20.345,
2003-11,21.007,
2003-12,21.889,
2004-01,25.611,
2004-02,26.514,
2004-03,24.786,
2004-04,23.534,
2004-05,22.918,
2004-06,20.664,
2004-07,19.456,
2004-08,19.105,
2004-09,19.670,
2004-10,18.847,
2004-11,18.020,
2004-12,15.986,
2005-01,17.254,
2005-02,17.384,
2005-03,16.219,
2005-04,16.369,
2005-05,16.673,
2005-06,16.003,
2005-07,17.142,
2005-08,20.674,
2005-09,21.778,
2005-10,22.707,
2005-11,22.574,
2005-12,19.902,
2006-01,22.247,
2006-02,25.549,
2006-03,26.007,
2006-04,26.575,
2006-05,25.307,
2006-06,29.607,
2006-07,30.218,
2006-08,31.361,
2006-09,34.979,
2006-10,32.092,
2006-11,30.754,
2006-12,28.624,
2007-01,36.825,
2007-02,45.989,
2007-03,36.887,
2007-04,35.781,
2007-05,41.070,
2007-06,33.426,
2007-07,34.313,
2007-08,31.106,
2007-09,34.317,
2007-10,29.765,
