"",BBK01.OEYB17S,BBK01.OEYB17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:35,
2002-01,1.835,
2002-04,1.852,
2002-07,1.869,
2002-10,1.875,
2003-01,1.876,
2003-04,1.877,
2003-07,1.886,
2003-10,1.885,
2004-01,1.870,
2004-04,1.867,
2004-07,1.867,
2004-10,1.398,
2005-01,1.375,
2005-04,1.356,
2005-07,1.336,
2005-10,1.303,
2006-01,1.271,
2006-04,1.253,
2006-07,1.237,
2006-10,1.216,
2007-01,1.203,
2007-04,1.194,
2007-07,1.193,
2007-10,1.190,
2008-01,1.183,
2008-04,1.174,
2008-07,1.176,
2008-10,1.170,
2009-01,1.156,
2009-04,1.142,
2009-07,1.129,
2009-10,1.115,
2010-01,1.106,
2010-04,1.111,
2010-07,1.111,
2010-10,1.102,
2011-01,1.092,
2011-04,1.102,
2011-07,1.114,
2011-10,1.113,
2012-01,1.120,
2012-04,1.130,
2012-07,1.148,
2012-10,1.150,
2013-01,1.144,
2013-04,1.154,
2013-07,1.164,
2013-10,1.171,
2014-01,1.182,
2014-04,1.200,
2014-07,1.223,
