"",BBK01.OELL03N,BBK01.OELL03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:54,
2002-01,10.444,
2002-04,10.218,
2002-07,10.315,
2002-10,10.359,
2003-01,10.479,
2003-04,10.307,
2003-07,9.875,
2003-10,9.762,
2004-01,9.654,
2004-04,9.547,
2004-07,9.377,
2004-10,9.447,
2005-01,9.788,
2005-04,10.379,
2005-07,10.725,
2005-10,10.775,
2006-01,10.797,
2006-04,10.537,
2006-07,10.674,
2006-10,10.530,
2007-01,10.927,
2007-04,11.347,
2007-07,12.170,
2007-10,12.833,
2008-01,14.145,
2008-04,15.377,
2008-07,13.830,
2008-10,15.604,
2009-01,13.507,
2009-04,12.221,
2009-07,10.869,
2009-10,9.498,
2010-01,8.879,
2010-04,8.343,
2010-07,7.995,
2010-10,8.199,
2011-01,8.274,
2011-04,8.642,
2011-07,8.981,
2011-10,9.273,
2012-01,9.300,
2012-04,9.057,
2012-07,8.605,
2012-10,8.251,
2013-01,7.900,
2013-04,7.647,
2013-07,7.304,
2013-10,7.423,
2014-01,7.215,
2014-04,7.297,
2014-07,7.233,
