"",BBSF2.M.1.S.I0002.DAC01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.DAC01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:06,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,2,
2004-05,2,
2004-06,2,
2004-07,2,
2004-08,2,
2004-09,2,
2004-10,2,
2004-11,2,
2004-12,3,
2005-01,3,
2005-02,3,
2005-03,3,
2005-04,3,
2005-05,3,
2005-06,3,
2005-07,3,
2005-08,3,
2005-09,4,
2005-10,4,
2005-11,4,
2005-12,4,
2006-01,4,
2006-02,4,
2006-03,9,
2006-04,9,
2006-05,7,
2006-06,7,
2006-07,7,
2006-08,8,
2006-09,8,
2006-10,8,
2006-11,8,
2006-12,8,
2007-01,8,
2007-02,8,
2007-03,8,
2007-04,8,
2007-05,8,
2007-06,8,
2007-07,8,
2007-08,7,
2007-09,7,
2007-10,7,
2007-11,7,
2007-12,7,
2008-01,8,
2008-02,8,
2008-03,8,
2008-04,8,
2008-05,8,
2008-06,8,
2008-07,8,
2008-08,8,
2008-09,8,
2008-10,9,
2008-11,24,
2008-12,24,
2009-01,24,
2009-02,23,
2009-03,23,
2009-04,23,
2009-05,24,
2009-06,24,
2009-07,24,
2009-08,24,
2009-09,15,
2009-10,15,
2009-11,18,
2009-12,18,
2010-01,18,
2010-02,18,
2010-03,18,
2010-04,18,
2010-05,18,
2010-06,17,
2010-07,17,
2010-08,17,
2010-09,17,
2010-10,17,
2010-11,17,
2010-12,17,
2011-01,17,
2011-02,17,
2011-03,17,
2011-04,18,
2011-05,17,
2011-06,17,
2011-07,17,
2011-08,17,
2011-09,18,
2011-10,18,
2011-11,18,
2011-12,18,
2012-01,18,
2012-02,18,
2012-03,18,
2012-04,19,
2012-05,19,
2012-06,19,
2012-07,19,
2012-08,19,
2012-09,19,
2012-10,19,
2012-11,20,
2012-12,22,
2013-01,22,
2013-02,22,
2013-03,22,
2013-04,22,
2013-05,22,
2013-06,22,
2013-07,22,
2013-08,22,
2013-09,22,
2013-10,22,
2013-11,22,
2013-12,22,
2014-01,22,
2014-02,22,
2014-03,22,
2014-04,21,
2014-05,21,
2014-06,29,
2014-07,33,
2014-08,33,
2014-09,34,
2014-10,35,
2014-11,35,
