"",BBFN1.M.DE.N.1.A.TH.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TH.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:37,
1994-07,0.445,
1994-08,0.490,
1994-09,0.582,
1994-10,0.556,
1994-11,0.478,
1994-12,0.475,
1995-01,0.478,
1995-02,0.421,
1995-03,0.443,
1995-04,0.463,
1995-05,0.459,
1995-06,0.472,
1995-07,0.509,
1995-08,0.545,
1995-09,0.549,
1995-10,0.473,
1995-11,0.515,
1995-12,0.584,
1996-01,0.536,
1996-02,0.579,
1996-03,0.614,
1996-04,0.607,
1996-05,0.598,
1996-06,0.648,
1996-07,0.682,
1996-08,0.594,
1996-09,0.602,
1996-10,0.624,
1996-11,0.676,
1996-12,0.657,
1997-01,0.635,
1997-02,0.651,
1997-03,0.729,
1997-04,0.688,
1997-05,0.730,
1997-06,0.750,
1997-07,0.742,
1997-08,0.726,
1997-09,0.709,
1997-10,0.721,
1997-11,0.709,
1997-12,0.702,
1998-01,0.642,
1998-02,0.738,
1998-03,0.697,
1998-04,0.687,
1998-05,0.688,
1998-06,0.647,
1998-07,0.651,
1998-08,0.614,
1998-09,0.607,
1998-10,0.564,
1998-11,0.654,
1998-12,0.594,
1999-01,0.591,
1999-02,0.593,
1999-03,0.575,
1999-04,0.502,
1999-05,0.585,
1999-06,0.621,
1999-07,0.544,
1999-08,0.573,
1999-09,0.592,
1999-10,0.570,
1999-11,0.524,
1999-12,0.562,
2000-01,0.557,
2000-02,0.556,
2000-03,0.557,
2000-04,0.550,
2000-05,0.560,
2000-06,0.532,
2000-07,0.518,
2000-08,0.509,
2000-09,0.554,
2000-10,0.583,
2000-11,0.588,
2000-12,0.598,
2001-01,0.565,
2001-02,0.520,
2001-03,0.538,
2001-04,0.546,
2001-05,0.581,
2001-06,0.594,
2001-07,0.579,
2001-08,0.503,
2001-09,0.510,
2001-10,0.502,
2001-11,0.473,
2001-12,0.468,
2002-01,0.468,
2002-02,0.449,
2002-03,0.457,
2002-04,0.451,
2002-05,0.442,
2002-06,0.452,
2002-07,0.463,
2002-08,0.437,
2002-09,0.451,
2002-10,0.447,
2002-11,0.471,
2002-12,0.460,
2003-01,0.422,
2003-02,0.387,
2003-03,0.411,
2003-04,0.397,
2003-05,0.382,
2003-06,0.379,
2003-07,0.370,
2003-08,0.336,
2003-09,0.336,
2003-10,0.330,
2003-11,0.322,
2003-12,0.289,
2004-01,0.289,
2004-02,0.299,
2004-03,0.306,
2004-04,0.318,
2004-05,0.321,
2004-06,0.337,
2004-07,0.338,
2004-08,0.338,
2004-09,0.320,
2004-10,0.321,
2004-11,0.308,
2004-12,0.339,
2005-01,0.347,
2005-02,0.332,
2005-03,0.318,
2005-04,0.311,
2005-05,0.313,
2005-06,0.318,
2005-07,0.328,
2005-08,0.314,
2005-09,0.298,
2005-10,0.306,
2005-11,0.322,
2005-12,0.316,
2006-01,0.306,
2006-02,0.303,
2006-03,0.307,
2006-04,0.318,
2006-05,0.328,
2006-06,0.341,
2006-07,0.324,
2006-08,0.339,
2006-09,0.341,
2006-10,0.330,
2006-11,0.372,
2006-12,0.334,
2007-01,0.327,
2007-02,0.337,
2007-03,0.354,
2007-04,0.348,
2007-05,0.336,
2007-06,0.358,
2007-07,0.393,
2007-08,0.381,
2007-09,0.393,
2007-10,0.417,
2007-11,0.426,
2007-12,0.427,
2008-01,0.419,
2008-02,0.411,
2008-03,0.424,
2008-04,0.444,
2008-05,0.456,
2008-06,0.433,
2008-07,0.398,
2008-08,0.379,
2008-09,0.406,
2008-10,0.401,
2008-11,0.393,
2008-12,0.400,
2009-01,0.287,
2009-02,0.298,
2009-03,0.321,
2009-04,0.319,
2009-05,0.306,
2009-06,0.301,
2009-07,0.317,
2009-08,0.325,
2009-09,0.339,
2009-10,0.358,
2009-11,0.349,
2009-12,0.374,
2010-01,0.376,
2010-02,0.367,
2010-03,0.363,
2010-04,0.377,
2010-05,0.435,
2010-06,0.427,
2010-07,0.408,
2010-08,0.412,
2010-09,0.397,
2010-10,0.415,
2010-11,0.424,
2010-12,0.420,
2011-01,0.381,
2011-02,0.407,
2011-03,0.437,
2011-04,0.468,
2011-05,0.455,
2011-06,0.477,
2011-07,0.477,
2011-08,0.503,
2011-09,0.456,
2011-10,0.455,
2011-11,0.464,
2011-12,0.456,
2012-01,0.520,
2012-02,0.570,
2012-03,0.569,
2012-04,0.598,
2012-05,0.655,
2012-06,0.718,
2012-07,0.713,
2012-08,0.738,
2012-09,0.746,
2012-10,0.714,
2012-11,0.701,
2012-12,0.714,
2013-01,0.693,
2013-02,0.649,
2013-03,0.689,
2013-04,0.746,
2013-05,0.724,
2013-06,0.776,
2013-07,0.755,
2013-08,0.667,
2013-09,0.680,
2013-10,0.646,
2013-11,0.627,
2013-12,0.637,
2014-01,0.617,
2014-02,0.565,
2014-03,0.592,
2014-04,0.615,
2014-05,0.647,
2014-06,0.657,
2014-07,0.695,
2014-08,0.699,
2014-09,0.720,
2014-10,0.730,
2014-11,0.736,
2014-12,0.740,
