"",BBEX3.M.GMD.USD.CA.AB.A01,BBEX3.M.GMD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Gambia / USD 1 = GMD ... (selling),
unit,GMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:34,
1986-01,5.33,
1986-02,6.24,
1986-03,7.08,
1986-04,7.14,
1986-05,7.50,
1986-06,7.53,
1986-07,7.66,
1986-08,7.35,
1986-09,7.44,
1986-10,7.81,
1986-11,7.63,
1986-12,7.65,
1987-01,7.52,
1987-02,7.42,
1987-03,7.52,
1987-04,7.10,
1987-05,7.25,
1987-06,7.28,
1987-07,7.30,
1987-08,7.38,
1987-09,7.46,
1987-10,7.46,
1987-11,6.98,
1987-12,6.92,
1988-01,6.88,
1988-02,6.95,
1988-03,6.65,
1988-04,6.75,
1988-05,6.80,
1988-06,7.20,
1988-07,7.35,
1988-08,7.35,
1988-09,7.50,
1988-10,7.15,
1988-11,6.95,
1988-12,7.20,
1989-01,7.30,
1989-02,7.30,
1989-03,7.60,
1989-04,7.50,
1989-05,8.00,
1989-06,8.10,
1989-07,7.65,
1989-08,8.00,
1989-09,8.40,
1989-10,8.65,
1989-11,8.65,
1989-12,8.55,
1990-01,8.45,
1990-02,8.25,
1990-03,8.70,
1990-04,8.70,
1990-05,8.70,
1990-06,8.40,
1990-07,8.00,
1990-08,7.55,
1990-09,7.85,
1990-10,7.55,
1990-11,7.55,
1990-12,7.75,
1991-01,7.90,
1991-02,8.15,
1991-03,8.75,
1991-04,9.20,
1991-05,9.15,
1991-06,9.75,
1991-07,9.45,
1991-08,9.40,
1991-09,9.50,
1991-10,9.65,
1991-11,9.30,
1991-12,8.80,
1992-01,9.20,
1992-02,9.35,
1992-03,9.55,
1992-04,9.35,
1992-05,9.25,
1992-06,8.75,
1992-07,8.80,
1992-08,8.50,
1992-09,9.00,
1992-10,9.35,
1992-11,9.50,
1992-12,9.60,
1993-01,9.15,
1993-02,9.20,
1993-03,9.30,
1993-04,8.90,
1993-05,9.00,
1993-06,9.20,
1993-07,9.40,
1993-08,9.60,
1993-09,9.70,
1993-10,9.70,
1993-11,9.70,
1993-12,9.80,
1994-01,9.85,
1994-02,9.90,
1994-03,9.95,
1994-04,10.00,
1994-05,9.80,
1994-06,9.80,
1994-07,9.75,
1994-08,9.75,
1994-09,9.70,
1994-10,9.75,
1994-11,9.80,
1994-12,9.85,
1995-01,9.80,
1995-02,9.75,
1995-03,9.65,
1995-04,9.70,
1995-05,9.80,
1995-06,9.80,
1995-07,9.80,
1995-08,9.85,
1995-09,9.90,
1995-10,9.90,
1995-11,9.90,
1995-12,9.90,
1996-01,9.90,
1996-02,9.95,
1996-03,10.00,
1996-04,10.00,
1996-05,10.10,
1996-06,10.00,
1996-07,10.00,
1996-08,10.00,
1996-09,10.05,
1996-10,10.10,
1996-11,10.10,
1996-12,10.10,
1997-01,10.15,
1997-02,10.25,
1997-03,10.15,
1997-04,10.20,
1997-05,10.20,
1997-06,10.50,
1997-07,10.50,
1997-08,10.50,
1997-09,10.60,
1997-10,10.60,
1997-11,10.60,
1997-12,10.60,
1998-01,10.65,
1998-02,10.65,
1998-03,10.70,
1998-04,10.70,
1998-05,10.75,
1998-06,10.80,
1998-07,10.80,
1998-08,10.80,
1998-09,10.95,
1998-10,10.95,
1998-11,10.95,
1998-12,11.05,
1999-01,11.20,
1999-02,11.30,
1999-03,11.30,
1999-04,11.40,
1999-05,11.40,
1999-06,11.50,
1999-07,11.55,
1999-08,11.55,
1999-09,11.85,
1999-10,11.85,
1999-11,11.90,
1999-12,11.90,
2000-01,12.02,
2000-02,12.10,
2000-03,12.30,
2000-04,12.50,
2000-05,12.80,
2000-06,12.80,
2000-07,12.90,
2000-08,12.95,
2000-09,13.40,
2000-10,14.20,
2000-11,14.80,
2000-12,14.90,
2001-01,14.95,
2001-02,15.25,
2001-03,15.35,
2001-04,15.45,
2001-05,15.60,
2001-06,15.80,
2001-07,16.50,
2001-08,16.50,
2001-09,17.30,
2001-10,17.40,
2001-11,17.60,
2001-12,17.65,
2002-01,17.70,
2002-02,18.50,
2002-03,19.00,
2002-04,.,No value available
2002-05,.,No value available
2002-06,.,No value available
2002-07,.,No value available
2002-08,.,No value available
2002-09,.,No value available
2002-10,.,No value available
2002-11,.,No value available
2002-12,.,No value available
2003-01,.,No value available
2003-02,.,No value available
2003-03,.,No value available
2003-04,.,No value available
2003-05,.,No value available
2003-06,.,No value available
2003-07,.,No value available
2003-08,.,No value available
2003-09,.,No value available
2003-10,.,No value available
2003-11,.,No value available
2003-12,.,No value available
2004-01,.,No value available
2004-02,.,No value available
2004-03,.,No value available
2004-04,.,No value available
2004-05,.,No value available
2004-06,.,No value available
2004-07,.,No value available
2004-08,.,No value available
2004-09,.,No value available
2004-10,.,No value available
2004-11,.,No value available
2004-12,.,No value available
2005-01,.,No value available
2005-02,.,No value available
2005-03,.,No value available
2005-04,.,No value available
2005-05,.,No value available
2005-06,.,No value available
2005-07,.,No value available
2005-08,.,No value available
2005-09,.,No value available
2005-10,.,No value available
2005-11,.,No value available
2005-12,.,No value available
2006-01,.,No value available
