"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.FL._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.FL._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Debt instruments / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:49,
1991-01,418.664,
1991-04,284.254,
1991-07,186.484,
1991-10,680.583,
1992-01,811.382,
1992-04,414.430,
1992-07,311.047,
1992-10,842.624,
1993-01,642.285,
1993-04,469.033,
1993-07,1028.702,
1993-10,-80.963,
1994-01,1070.081,
1994-04,1076.836,
1994-07,758.822,
1994-10,1380.593,
1995-01,864.941,
1995-04,329.468,
1995-07,2856.374,
1995-10,595.681,
1996-01,878.220,
1996-04,1242.895,
1996-07,2058.760,
1996-10,9430.199,
1997-01,9100.760,
1997-04,-785.661,
1997-07,-1185.293,
1997-10,4680.939,
1998-01,22747.425,
1998-04,6538.149,
1998-07,-5920.081,
1998-10,-803.407,
1999-01,14738.244,
1999-04,19546.524,
1999-07,500.941,
1999-10,28037.295,
2000-01,19608.771,
2000-04,37052.569,
2000-07,41602.368,
2000-10,46654.914,
2001-01,11127.671,
2001-04,11646.422,
2001-07,24243.626,
2001-10,2728.288,
2002-01,234.991,
2002-04,15976.063,
2002-07,2399.893,
2002-10,5220.239,
2003-01,14892.521,
2003-04,16999.928,
2003-07,11131.601,
2003-10,-26657.485,
2004-01,-28019.798,
2004-04,2526.225,
2004-07,-8821.846,
2004-10,-12804.623,
2005-01,705.571,
2005-04,-940.683,
2005-07,-1105.636,
2005-10,18029.528,
2006-01,9674.426,
2006-04,10114.468,
2006-07,7574.088,
2006-10,12420.692,
2007-01,11175.795,
2007-04,-746.138,
2007-07,-3987.496,
2007-10,-14520.969,
2008-01,-6575.170,
2008-04,9082.559,
2008-07,11262.827,
2008-10,3092.616,
2009-01,10392.122,
2009-04,7084.370,
2009-07,4892.091,
2009-10,19145.873,
2010-01,4862.954,
2010-04,2776.326,
2010-07,15399.618,
2010-10,19138.089,
2011-01,3586.996,
2011-04,18391.247,
2011-07,12715.395,
2011-10,13403.648,
2012-01,5299.860,
2012-04,8547.688,
2012-07,4879.882,
2012-10,9216.080,
2013-01,4717.660,
2013-04,19135.876,
2013-07,3536.208,
2013-10,5328.918,
2014-01,-1472.492,
2014-04,6844.219,
2014-07,-10469.254,
