"",BBSF2.M.1.S.00000.TOT01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.TOT01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Special investors funds / Funds total / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:00,
2009-09,2762,
2009-10,2850,
2009-11,2664,
2009-12,1750,
2010-01,3312,
2010-02,2484,
2010-03,1628,
2010-04,1698,
2010-05,1541,
2010-06,1833,
2010-07,1765,
2010-08,1883,
2010-09,1662,
2010-10,1581,
2010-11,1779,
2010-12,1718,
2011-01,1114,
2011-02,1460,
2011-03,1399,
2011-04,1782,
2011-05,1654,
2011-06,1743,
2011-07,1755,
2011-08,2327,
2011-09,2917,
2011-10,2811,
2011-11,2466,
2011-12,3029,
2012-01,2860,
2012-02,2911,
2012-03,2867,
2012-04,3346,
2012-05,3155,
2012-06,3267,
2012-07,2803,
2012-08,3099,
2012-09,2958,
2012-10,2990,
2012-11,2504,
2012-12,2586,
2013-01,2302,
2013-02,2315,
2013-03,2583,
2013-04,2883,
2013-05,2875,
2013-06,3187,
2013-07,3152,
2013-08,3163,
2013-09,2814,
2013-10,2861,
2013-11,2143,
2013-12,1785,
2014-01,2008,
2014-02,4035,
2014-03,4082,
2014-04,4063,
2014-05,4489,
2014-06,4430,
2014-07,4810,
2014-08,3422,
2014-09,3152,
2014-10,2069,
2014-11,1941,
