"",BBK01.OECI02N,BBK01.OECI02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:28,
2002-01,18.301,
2002-04,21.709,
2002-07,21.579,
2002-10,24.459,
2003-01,21.924,
2003-04,22.098,
2003-07,21.393,
2003-10,23.939,
2004-01,21.987,
2004-04,21.726,
2004-07,21.622,
2004-10,23.512,
2005-01,27.809,
2005-04,27.611,
2005-07,27.489,
2005-10,28.181,
2006-01,26.706,
2006-04,28.064,
2006-07,26.916,
2006-10,30.420,
2007-01,29.212,
2007-04,29.561,
2007-07,32.441,
2007-10,33.064,
2008-01,32.251,
2008-04,33.944,
2008-07,33.284,
2008-10,39.840,
2009-01,41.731,
2009-04,47.568,
2009-07,48.344,
2009-10,53.437,
2010-01,46.999,
2010-04,50.938,
2010-07,48.636,
2010-10,50.129,
2011-01,46.808,
2011-04,50.426,
2011-07,48.914,
2011-10,55.785,
2012-01,51.314,
2012-04,53.714,
2012-07,48.778,
2012-10,51.876,
2013-01,50.309,
2013-04,49.572,
2013-07,50.653,
2013-10,52.001,
2014-01,50.217,
2014-04,49.715,
2014-07,51.287,
