"",BBK01.OECB11I,BBK01.OECB11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:01,
2002-01,0.303,
2002-04,0.306,
2002-07,0.283,
2002-10,0.234,
2003-01,0.152,
2003-04,0.200,
2003-07,0.181,
2003-10,0.172,
2004-01,0.166,
2004-04,0.161,
2004-07,0.132,
2004-10,0.155,
2005-01,0.176,
2005-04,0.188,
2005-07,0.182,
2005-10,0.164,
2006-01,0.168,
2006-04,0.145,
2006-07,0.136,
2006-10,0.127,
2007-01,0.131,
2007-04,0.132,
2007-07,0.155,
2007-10,0.144,
2008-01,0.172,
2008-04,0.257,
2008-07,0.274,
2008-10,0.292,
2009-01,0.277,
2009-04,0.218,
2009-07,0.196,
2009-10,0.193,
2010-01,0.222,
2010-04,0.175,
2010-07,0.335,
2010-10,0.286,
2011-01,0.267,
2011-04,0.274,
2011-07,0.284,
2011-10,0.286,
2012-01,0.294,
2012-04,0.454,
2012-07,0.463,
2012-10,0.439,
2013-01,0.461,
2013-04,1.078,
2013-07,1.089,
2013-10,0.853,
2014-01,0.624,
2014-04,0.454,
2014-07,0.452,
