"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00125.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00125.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Insurance corporations and pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:43,
2009-09,1974,
2009-10,2023,
2009-11,2006,
2009-12,2049,
2010-01,2125,
2010-02,2064,
2010-03,2299,
2010-04,2436,
2010-05,2369,
2010-06,2277,
2010-07,2259,
2010-08,2065,
2010-09,2034,
2010-10,2088,
2010-11,2065,
2010-12,2031,
2011-01,2097,
2011-02,2120,
2011-03,1994,
2011-04,2027,
2011-05,2016,
2011-06,1955,
2011-07,1947,
2011-08,2010,
2011-09,1952,
2011-10,1991,
2011-11,1802,
2011-12,1872,
2012-01,1949,
2012-02,2008,
2012-03,2128,
2012-04,2086,
2012-05,2036,
2012-06,2026,
2012-07,2127,
2012-08,2167,
2012-09,2211,
2012-10,2636,
2012-11,2743,
2012-12,2961,
2013-01,2940,
2013-02,3031,
2013-03,3055,
2013-04,3252,
2013-05,3225,
2013-06,3149,
2013-07,3254,
2013-08,3302,
2013-09,3368,
2013-10,3659,
2013-11,3734,
2013-12,3771,
2014-01,3954,
2014-02,3947,
2014-03,3972,
2014-04,4017,
2014-05,4235,
2014-06,3598,
2014-07,3672,
2014-08,3756,
2014-09,3981,
2014-10,4123,
2014-11,4156,
