"",BBK01.OEAC55R,BBK01.OEAC55R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:36,
2002-01,2.524,
2002-04,2.513,
2002-07,2.537,
2002-10,2.523,
2003-01,2.496,
2003-04,2.478,
2003-07,3.675,
2003-10,3.630,
2004-01,3.610,
2004-04,3.519,
2004-07,3.533,
2004-10,3.562,
2005-01,3.628,
2005-04,3.590,
2005-07,3.632,
2005-10,3.728,
2006-01,3.756,
2006-04,3.812,
2006-07,3.874,
2006-10,3.915,
2007-01,3.863,
2007-04,3.784,
2007-07,3.698,
2007-10,3.566,
2008-01,3.835,
2008-04,3.847,
2008-07,3.932,
2008-10,4.030,
2009-01,4.094,
2009-04,4.264,
2009-07,4.275,
2009-10,4.584,
2010-01,4.487,
2010-04,4.475,
2010-07,4.583,
2010-10,4.356,
2011-01,4.397,
2011-04,4.440,
2011-07,4.435,
2011-10,4.455,
2012-01,4.503,
2012-04,4.653,
2012-07,4.671,
2012-10,4.752,
2013-01,4.797,
2013-04,4.819,
2013-07,4.825,
2013-10,4.852,
2014-01,4.861,
2014-04,4.889,
2014-07,4.926,
