"",BBSF2.M.1.T.00000.DGE01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGE01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:47:07,
2009-09,62,
2009-10,63,
2009-11,63,
2009-12,62,
2010-01,51,
2010-02,46,
2010-03,46,
2010-04,48,
2010-05,50,
2010-06,51,
2010-07,54,
2010-08,59,
2010-09,59,
2010-10,59,
2010-11,57,
2010-12,64,
2011-01,64,
2011-02,62,
2011-03,63,
2011-04,63,
2011-05,63,
2011-06,63,
2011-07,61,
2011-08,63,
2011-09,63,
2011-10,63,
2011-11,64,
2011-12,64,
2012-01,62,
2012-02,61,
2012-03,60,
2012-04,65,
2012-05,66,
2012-06,68,
2012-07,71,
2012-08,71,
2012-09,70,
2012-10,70,
2012-11,72,
2012-12,72,
2013-01,73,
2013-02,72,
2013-03,73,
2013-04,72,
2013-05,74,
2013-06,73,
2013-07,76,
2013-08,77,
2013-09,78,
2013-10,78,
2013-11,75,
2013-12,77,
2014-01,77,
2014-02,77,
2014-03,76,
2014-04,76,
2014-05,77,
2014-06,87,
2014-07,87,
2014-08,99,
2014-09,98,
2014-10,99,
2014-11,98,
