"",BBK01.OECL01K,BBK01.OECL01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:20,
2002-01,2.452,
2002-04,2.403,
2002-07,2.310,
2002-10,2.499,
2003-01,2.404,
2003-04,2.361,
2003-07,2.416,
2003-10,2.374,
2004-01,2.249,
2004-04,2.244,
2004-07,2.339,
2004-10,3.835,
2005-01,5.566,
2005-04,5.606,
2005-07,5.552,
2005-10,5.517,
2006-01,5.426,
2006-04,5.563,
2006-07,5.397,
2006-10,5.434,
2007-01,5.644,
2007-04,5.862,
2007-07,6.114,
2007-10,6.435,
2008-01,6.558,
2008-04,6.718,
2008-07,6.957,
2008-10,7.448,
2009-01,7.560,
2009-04,7.705,
2009-07,7.815,
2009-10,7.535,
2010-01,7.511,
2010-04,7.521,
2010-07,7.348,
2010-10,7.475,
2011-01,7.330,
2011-04,7.201,
2011-07,7.344,
2011-10,7.389,
2012-01,7.487,
2012-04,7.468,
2012-07,7.651,
2012-10,7.815,
2013-01,7.366,
2013-04,7.388,
2013-07,7.240,
2013-10,7.611,
2014-01,7.524,
2014-04,7.638,
2014-07,7.758,
