"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4O._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4O._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Other Primary income / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:27,
1991-01,706.121,
1991-02,421.431,
1991-03,333.209,
1991-04,564.553,
1991-05,456.659,
1991-06,712.759,
1991-07,546.524,
1991-08,457.685,
1991-09,396.159,
1991-10,473.347,
1991-11,616.199,
1991-12,217.148,
1992-01,482.222,
1992-02,453.781,
1992-03,330.256,
1992-04,403.063,
1992-05,441.656,
1992-06,418.564,
1992-07,658.754,
1992-08,475.047,
1992-09,433.088,
1992-10,410.488,
1992-11,553.683,
1992-12,121.151,
1993-01,287.679,
1993-02,409.904,
1993-03,335.722,
1993-04,304.311,
1993-05,427.788,
1993-06,589.714,
1993-07,264.022,
1993-08,295.312,
1993-09,417.784,
1993-10,515.557,
1993-11,924.105,
1993-12,418.510,
1994-01,366.924,
1994-02,260.670,
1994-03,263.076,
1994-04,244.936,
1994-05,431.139,
1994-06,211.002,
1994-07,253.415,
1994-08,339.640,
1994-09,237.210,
1994-10,1698.562,
1994-11,878.830,
1994-12,157.395,
1995-01,151.492,
1995-02,127.707,
1995-03,199.223,
1995-04,174.768,
1995-05,366.154,
1995-06,239.523,
1995-07,310.883,
1995-08,265.841,
1995-09,184.557,
1995-10,253.378,
1995-11,213.336,
1995-12,3046.294,
1996-01,250.754,
1996-02,496.971,
1996-03,187.629,
1996-04,258.485,
1996-05,361.579,
1996-06,259.642,
1996-07,201.367,
1996-08,199.828,
1996-09,162.543,
1996-10,233.259,
1996-11,412.836,
1996-12,3073.261,
1997-01,91.200,
1997-02,492.523,
1997-03,186.033,
1997-04,200.002,
1997-05,370.600,
1997-06,334.517,
1997-07,267.767,
1997-08,249.593,
1997-09,295.831,
1997-10,196.172,
1997-11,245.178,
1997-12,3219.061,
1998-01,523.462,
1998-02,282.767,
1998-03,152.113,
1998-04,198.306,
1998-05,383.666,
1998-06,289.771,
1998-07,260.854,
1998-08,236.700,
1998-09,233.099,
1998-10,192.851,
1998-11,280.071,
1998-12,3181.541,
1999-01,257.374,
1999-02,351.803,
1999-03,191.435,
1999-04,226.697,
1999-05,442.687,
1999-06,231.818,
1999-07,191.782,
1999-08,213.456,
1999-09,211.446,
1999-10,215.262,
1999-11,308.787,
1999-12,3215.126,
2000-01,483.539,
2000-02,362.977,
2000-03,186.996,
2000-04,217.969,
2000-05,493.019,
2000-06,176.963,
2000-07,185.551,
2000-08,135.534,
2000-09,158.252,
2000-10,64.359,
2000-11,96.255,
2000-12,3501.366,
2001-01,494.714,
2001-02,351.755,
2001-03,288.057,
2001-04,152.875,
2001-05,226.160,
2001-06,125.538,
2001-07,126.598,
2001-08,332.065,
2001-09,257.836,
2001-10,153.742,
2001-11,65.586,
2001-12,3818.308,
2002-01,506.127,
2002-02,425.440,
2002-03,250.441,
2002-04,116.010,
2002-05,201.346,
2002-06,122.824,
2002-07,176.865,
2002-08,394.200,
2002-09,110.261,
2002-10,84.727,
2002-11,674.594,
2002-12,3198.905,
2003-01,161.705,
2003-02,418.274,
2003-03,307.981,
2003-04,236.914,
2003-05,210.298,
2003-06,95.755,
2003-07,111.428,
2003-08,422.971,
2003-09,109.417,
2003-10,103.466,
2003-11,270.372,
2003-12,4047.750,
2004-01,161.855,
2004-02,573.506,
2004-03,116.067,
2004-04,144.673,
2004-05,188.006,
2004-06,77.072,
2004-07,110.162,
2004-08,509.206,
2004-09,160.922,
2004-10,66.306,
2004-11,54.366,
2004-12,4425.984,
2005-01,161.742,
2005-02,155.801,
2005-03,191.160,
2005-04,261.264,
2005-05,128.875,
2005-06,169.184,
2005-07,206.290,
2005-08,582.956,
2005-09,189.558,
2005-10,73.070,
2005-11,7.078,
2005-12,4457.451,
2006-01,177.771,
2006-02,148.867,
2006-03,157.476,
2006-04,115.020,
2006-05,77.042,
2006-06,372.400,
2006-07,453.319,
2006-08,439.874,
2006-09,62.026,
2006-10,92.844,
2006-11,210.176,
2006-12,5765.958,
2007-01,53.109,
2007-02,270.162,
2007-03,61.795,
2007-04,46.282,
2007-05,4.853,
2007-06,2.387,
2007-07,39.931,
2007-08,6.014,
2007-09,2.646,
2007-10,20.617,
2007-11,5.862,
2007-12,4833.960,
2008-01,2.173,
2008-02,233.310,
2008-03,66.894,
2008-04,3.259,
2008-05,3.776,
2008-06,42.559,
2008-07,6.091,
