"",BBFI1.Q.N.DE.W1.S12M.S1.KA.L.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S12M.S1.KA.L.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Liabilities - Other changes excluding transactions and revaluations - resident issuer: Financial corporations other than MFIs - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:04:26,
2013-01,-30,
2013-04,4,
2013-07,-,Nothing exists
2013-10,4403,
2014-01,-,Nothing exists
2014-04,2,
2014-07,3,
