"",BBK01.OEBI09O,BBK01.OEBI09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:09,
2002-01,-0.122,
2002-04,-0.090,
2002-07,-0.018,
2002-10,0.003,
2003-01,-0.008,
2003-04,-0.021,
2003-07,-0.038,
2003-10,-0.047,
2004-01,-0.013,
2004-04,-0.016,
2004-07,-0.021,
2004-10,-0.002,
2005-01,0.344,
2005-04,0.327,
2005-07,0.290,
2005-10,0.287,
2006-01,0.284,
2006-04,0.248,
2006-07,0.259,
2006-10,0.284,
2007-01,0.437,
2007-04,0.495,
2007-07,0.547,
2007-10,0.634,
2008-01,0.684,
2008-04,0.699,
2008-07,0.734,
2008-10,1.087,
2009-01,1.042,
2009-04,1.037,
2009-07,1.043,
2009-10,0.820,
2010-01,0.653,
2010-04,0.629,
2010-07,0.593,
2010-10,0.761,
2011-01,0.931,
2011-04,0.967,
2011-07,0.987,
2011-10,0.922,
2012-01,0.820,
2012-04,0.822,
2012-07,0.768,
2012-10,0.634,
2013-01,0.518,
2013-04,0.421,
2013-07,0.386,
2013-10,0.358,
2014-01,0.345,
2014-04,0.326,
2014-07,0.444,
