"",BBK01.OEAJ10N,BBK01.OEAJ10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:58,
2002-01,1.019,
2002-04,1.046,
2002-07,1.023,
2002-10,1.010,
2003-01,1.021,
2003-04,1.002,
2003-07,0.994,
2003-10,0.971,
2004-01,0.991,
2004-04,0.977,
2004-07,0.948,
2004-10,0.983,
2005-01,0.957,
2005-04,0.921,
2005-07,0.899,
2005-10,0.872,
2006-01,0.855,
2006-04,0.826,
2006-07,0.836,
2006-10,0.823,
2007-01,0.812,
2007-04,0.774,
2007-07,0.760,
2007-10,0.715,
2008-01,0.683,
2008-04,0.663,
2008-07,0.644,
2008-10,0.629,
2009-01,0.618,
2009-04,0.605,
2009-07,0.592,
2009-10,0.895,
2010-01,0.564,
2010-04,0.431,
2010-07,0.421,
2010-10,0.402,
2011-01,0.384,
2011-04,0.271,
2011-07,0.260,
2011-10,0.251,
2012-01,0.237,
2012-04,0.229,
2012-07,0.218,
2012-10,0.436,
2013-01,0.424,
2013-04,0.417,
2013-07,0.408,
2013-10,0.398,
2014-01,0.390,
2014-04,0.365,
2014-07,0.358,
