"",BBK01.OEYM03G,BBK01.OEYM03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:43,
2002-01,3.507,
2002-04,4.011,
2002-07,3.844,
2002-10,3.342,
2003-01,3.390,
2003-04,3.349,
2003-07,3.027,
2003-10,3.220,
2004-01,3.018,
2004-04,2.888,
2004-07,2.944,
2004-10,2.900,
2005-01,2.818,
2005-04,3.198,
2005-07,2.771,
2005-10,2.625,
2006-01,3.633,
2006-04,3.747,
2006-07,4.073,
2006-10,4.401,
2007-01,4.052,
2007-04,5.603,
2007-07,7.076,
2007-10,6.563,
2008-01,6.959,
2008-04,10.032,
2008-07,9.044,
2008-10,8.729,
2009-01,7.876,
2009-04,3.722,
2009-07,3.829,
2009-10,4.535,
2010-01,3.597,
2010-04,4.629,
2010-07,6.448,
2010-10,3.819,
2011-01,4.554,
2011-04,6.300,
2011-07,3.936,
2011-10,3.495,
2012-01,3.881,
2012-04,16.604,
2012-07,17.717,
2012-10,19.007,
2013-01,16.400,
2013-04,14.675,
2013-07,17.100,
2013-10,20.438,
2014-01,18.896,
2014-04,20.842,
2014-07,22.024,
