"",BBDA1.M.DE.Y.IM.S.GP09IS12.W1.A.C.A10.A,BBDA1.M.DE.Y.IM.S.GP09IS12.W1.A.C.A10.A_FLAGS
"",German foreign trade: imports / At constant prices / Aggregate excluding energy / Rest of the World / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:38,
2008-01,58.17,
2008-02,57.15,
2008-03,57.66,
2008-04,56.38,
2008-05,56.93,
2008-06,54.88,
2008-07,57.75,
2008-08,56.98,
2008-09,57.29,
2008-10,55.14,
2008-11,52.91,
2008-12,51.27,
2009-01,49.55,
2009-02,47.95,
2009-03,47.59,
2009-04,48.26,
2009-05,44.60,
2009-06,47.09,
2009-07,47.64,
2009-08,48.73,
2009-09,51.75,
2009-10,50.39,
2009-11,50.07,
2009-12,51.00,
2010-01,55.02,
2010-02,52.96,
2010-03,59.31,
2010-04,55.26,
2010-05,59.18,
2010-06,60.81,
2010-07,58.98,
2010-08,59.55,
2010-09,60.19,
2010-10,59.32,
2010-11,62.50,
2010-12,60.86,
2011-01,60.75,
2011-02,61.86,
2011-03,63.46,
2011-04,62.00,
2011-05,64.09,
2011-06,64.34,
2011-07,62.98,
2011-08,63.48,
2011-09,63.61,
2011-10,61.38,
2011-11,62.92,
2011-12,61.19,
2012-01,59.78,
2012-02,62.05,
2012-03,60.94,
2012-04,60.02,
2012-05,63.07,
2012-06,61.60,
2012-07,61.09,
2012-08,60.99,
2012-09,60.24,
2012-10,61.39,
2012-11,59.14,
2012-12,59.59,
2013-01,60.48,
2013-02,59.49,
2013-03,59.11,
2013-04,59.55,
2013-05,61.88,
2013-06,60.64,
2013-07,61.48,
2013-08,60.80,
2013-09,60.84,
2013-10,61.95,
2013-11,62.60,
2013-12,61.99,
2014-01,62.57,
2014-02,63.52,
2014-03,61.31,
2014-04,62.98,
2014-05,61.02,
2014-06,64.06,
2014-07,64.19,
2014-08,62.46,
2014-09,64.21,
2014-10,62.92,
2014-11,63.26,
2014-12,65.51,
